"site.paired","Seagrass.Unveg","fish.abundance.mean","log10.fish.abundance.mean","fish.richness.seine.mean","log10.fish.richness.seine.mean","carnivore.abundance.mean","herbivore.abundance.mean","planktivore.abundance.mean","piscivore.abundance.mean","log10.carnivore.abundance.mean","log10.herbivore.abundance.mean","log10.planktivore.abundance.mean","log10.piscivore.abundance.mean","proportion.missing.1hr.mean","proportion.missing.24hr.mean","latitude","longitude","Data.Collector","latitude.absolute"
"QC_Baie St-Ludger","unvegetated",24.6666666666667,1.35934052684013,3,0.460070413903869,24,0,0.666666666666667,0,1.34122130606593,0,0.159040418239887,0,0.0133333333333333,0.0277777777777778,49.0891,-68.32311,"Maxime Larouche",49.0891
"Redondo","vegetated",84.6666666666667,1.15846019771445,3.33333333333333,0.418424168367769,83.3333333333333,0,1.33333333333333,0,1.13031170236779,0,0.301029995663981,0,0,0,47.3457,-122.329,"Kristin Hultgren",47.3457
"Redondo","unvegetated",0.666666666666667,0.159040418239887,1,0,0.666666666666667,0,0,0,0.159040418239887,0,0,0,0,0.0811111111111111,47.3457,-122.329,"Kristin Hultgren",47.3457
"San Diego","vegetated",356.666666666667,2.33516705992899,10.3333333333333,1.0078879727326,192,0,164.333333333333,0.333333333333333,2.20139716033447,0,1.37763325664816,0.100343331887994,0,0.694444444444444,32.765211,-117.246564,"Julia Ledbetter, Kaylee Griffith, Mallarie Yeager",32.765211
"San Diego","unvegetated",195.666666666667,2.15333426178647,8,0.900810178815175,60.3333333333333,0,135.333333333333,0,1.74597854422664,0,1.36798016169434,0,0,0.52,32.765211,-117.246564,"Julia Ledbetter, Kaylee Griffith, Mallarie Yeager",32.765211
"Smiths_Lake_NSW","vegetated",470,2.46093613766176,10,0.995888754975425,113,0,357,0,2.05037159225376,0,2.03700792925952,0,0.946666666666667,1,-32.380278,152.508889,"Alistair Poore",32.380278
"Smiths_Lake_NSW","unvegetated",111,2.04138898713644,9,0.952444165477089,70.6666666666667,0,40.3333333333333,0,1.81492093960089,0,1.28993940265978,0,1,1,-32.380278,152.508889,"Alistair Poore",32.380278
"St. Leonards","vegetated",510.5,2.08977589558259,5,0.690105620855803,510,0,0,0,2.07479428389387,0,0,0,0,0.302083333333333,-38.180151,144.715595,"Holger Janes",38.180151
"St. Leonards","unvegetated",605,2.26769137126344,4,0.588045629527841,599.5,2,0,0,2.20696824295865,0.349485002168009,0,0,0,0.07,-38.180151,144.715595,"Holger Janes",38.180151
"Sunshine Cove","vegetated",23,1.34551635149305,7.33333333333333,0.848022681450092,16,0,5,0,1.11148458371698,0,0.680464228386075,0,0,0.04,58.60853,-134.93083,"Wendel Raymond",58.60853
"Sunshine Cove","unvegetated",6.33333333333333,0.789738619136714,2.66666666666667,0.401373327551975,5.66666666666667,0,0,0,0.731041532784821,0,0,0,0,0,58.60853,-134.93083,"Wendel Raymond",58.60853
"UD Lewes, DE","unvegetated",10,1.04139268515823,2,0.301029995663981,10,0,0,0,1.04139268515823,0,0,0,NA,NA,38.472539,-75.9491,"Lane Johnston",38.472539
"Urunga Lagoon","vegetated",789,2.83170985021387,12.3333333333333,1.0907686148007,74,1.66666666666667,258.666666666667,0.333333333333333,1.84686324105816,0.359727082015875,2.37463288659306,0.100343331887994,0.986666666666667,1,-30.50648,153.02373,"Ceylena Holloway",30.50648
"Urunga Lagoon","unvegetated",8.5,0.664028262969668,1.9,0.169897000433602,7.8,0,0.1,0,0.590103526406757,0,0.0301029995663981,0,0.333333333333333,1,-30.50648,153.02373,"Ceylena Holloway",30.50648
"Windy Cove","vegetated",103.333333333333,2.01797438351619,6.33333333333333,0.793403747237202,94.6666666666667,0,8.66666666666667,0,1.98027837208718,0,0.975961136776902,0,0.0133333333333333,0.221908212560386,35.348999,-120.8442,"Erin Aiello and Jennifer O'Leary",35.348999
"Windy Cove","unvegetated",97.6666666666667,1.97481765637345,8.33333333333333,0.916062675668733,34.6666666666667,0,62.6666666666667,0,1.54149612083782,0,1.69394559450697,0,0,0.0933333333333333,35.348999,-120.8442,"Erin Aiello and Jennifer O'Leary",35.348999
