taxon,RDA1.t1,PC1.t1,CAP1.t2,MDS1.t2,RDA1.t3,PC1.t3,CAP1.t4,MDS1.t4
Fundulidae,-0.031459446489837645,-0.5777026515842121,0.01062405435161832,-0.05177376909996376,0.14904316592555125,-0.6403723512205127,-0.12697871433810454,0.4540892276546308
Gadidae,-0.1253379217604155,0.07261562331932561,0.022726747900795548,0.004968604111882035,-0.15208138769399357,0.21081125481216412,0.14308298732121552,-0.4130187031533923
Gerreidae,0.26697807556766584,-0.669493013830804,-0.21069760945929425,-0.10879328463286825,0.6116518716625728,-0.49054477197781937,-0.7000790780790593,0.45595720191088135
Gobiesocidae,-0.0718247156694742,-0.25318571116626554,0.0014764681818947572,-0.0014045440545665025,-0.07182471566947421,-0.2047458370413437,0.031695469409548975,0.13351499398473785
Haemulidae,0.4734980957664699,0.04758975846424666,-0.01651649384669428,0.00401020985643673,0.39922721944955436,-0.008177403554991759,-0.29812771462372795,0.036720300663368066
Hemiramphidae,0.4439596855643363,-0.1891898651717785,-0.024531999543140184,-0.008110010196935436,0.6704162842657181,-0.2813184616604256,-0.7274150920758393,0.3504716064796911
Hexagrammidae,-0.0753873179644477,0.08501500313603953,0.002620614837619847,0.007637696002966201,-0.05799368407083067,0.21596522983303146,0.03577888962097448,-0.2264283042430144
Labridae,-0.011223448994948315,0.0944724517247824,0.002517858480446165,-0.1397571325103335,0.027860014395596863,-0.07338864891978267,-0.031887768348232176,0.3615834377391355
Lateolabracidae,-2.328327527211294e-4,0.07232341018312169,7.306475022806533e-5,0.058961856106798945,-2.328327527211295e-4,0.19487091501665116,1.0274657299548204e-4,-0.10998472866467193
Lethrinidae,-0.015137575370563776,-0.18842617731601077,0.002061704358949797,-0.013233254169926259,0.09763089593766099,-0.3653137565619183,-0.060232853030755644,0.16037052580842268
Lutjanidae,-0.0362801726624676,-0.35951038400173324,0.008482318310674131,-0.023216723737209163,-0.03260884302088295,-0.6514873937362862,0.020117849276257333,0.23013125929225842
Monodactylidae,0.4620689154130657,-0.02685007701479833,-0.03156812056839984,-0.005781121802072532,0.4702380638842481,-0.03224135173251485,-0.29011082935766813,0.04510812559222865
Moronidae,-0.03285534841611488,0.052191655424377946,2.0367292438819485e-4,-0.001618463279916916,-0.03339610496373139,-0.04463049384238492,0.020603546272529614,0.15880814792383746
Mullidae,0.004383313428079648,-0.13541438712785897,-1.9993343808532457e-4,-0.013063689606678698,0.06686344547185083,-0.36143251993530545,-0.04993107989449089,0.2853360014358216
Ostraciidae,-2.328327527211294e-4,0.07232341018312169,2.5282244794555853e-6,0.002040228803876496,-2.328327527211295e-4,0.19487091501665116,1.0274657299548204e-4,-0.10998472866467193
Ovalipidae,-0.07990128014571897,0.06372089240097734,9.124969241530556e-4,-8.100451026824323e-5,-0.07990128014571898,0.10177024989584911,0.03525956987141637,-0.0052580700118834275
Palaemonidae,0.24862152808568438,-0.6284866938570296,-0.96325423075428,-1.115718098306977,0.14501983973511637,-0.3776281749775565,-0.15734942982371328,0.6981355658040704
Panopeidae,-0.010945395202848032,-0.877097244276235,5.062489577638258e-4,-0.0067428526311127225,-0.01094539520284804,-0.6162557871681225,0.004830084401917597,0.14953486410866274
Penaeidae,0.062452106952442854,-0.8822509372840214,-0.029458871545474222,-0.06391691099404888,0.2322997463915099,-0.6636599381519358,-0.21855496041722874,0.48469044353403007
Phycidae,-0.08059658254997032,0.05193333682762286,0.0014846148773570206,0.0013261667289903639,-0.08059658254997036,0.10770054859744513,0.03556639929467158,-0.12693978257799293
Portunidae,0.028420523024386038,-0.798120076262328,-0.0081783424270102,-0.05887640874393013,0.13399796511468648,-0.6220501712552042,-0.16046031584492837,1.0190932189174489
Salmonidae,-0.08122724608451871,0.03685649181124061,0.0016697517453271027,-5.789799534983645e-4,-0.08122724608451877,0.027215910962969738,0.0358447042845442,0.036523036854333474
Sciaenidae,-0.043061016898926385,-0.7669810215520729,0.005696615676376845,-0.012922800036495423,0.10108407679390355,-0.5882382760323023,-0.0951031016851387,0.5265033779894001
Sebastidae,-0.11974213125284379,0.0792159397725239,0.19898334730144726,0.37624327357373455,-0.12310946590776589,0.13348826875177464,0.10488425689794688,-0.12763278379574608
Serranidae,-0.019461837834387086,-0.04932626450452043,0.005421151848342599,0.03753514408988867,0.12102783009770823,-0.3975777666786882,-0.10311078786808656,0.34806059134749145
Sillaginidae,0.2975298831122132,-0.12050446701359387,-0.05726161510459588,-0.04352428309882793,0.5701441523625138,-0.13819680649159824,-0.5802157818884817,0.14814313084883896
Sparidae,0.676861714482967,-0.27852218988623706,-0.46792838887717686,0.06473800235696163,0.6780654147768665,-0.19059624585090107,-0.6900434796639767,0.14896562569613286
Sphyraenidae,0.38831974367791283,-0.09485679306968993,-0.010733048619885919,-0.004507524896239843,0.4067971615800966,-0.42857680696775274,-0.34657463328196403,0.251772158087015
Terapontidae,0.21528652606871213,-0.17007273533501133,-0.14552026655858172,-0.1131228233898695,0.6168144009659754,-0.17175930298024442,-0.5803185284614779,0.12651363811731875
Tetraodontidae,0.1467812256869911,0.05208247014330329,-0.04894170624041704,0.0033471017679040727,0.40501385869198514,-0.10192355367815183,-0.4394481462142592,0.19276038382552857
Tetrarogidae,0.540402115143979,0.09506447003695763,-0.0689026743186036,0.005596577912094481,0.5089641977048688,0.045909661038264576,-0.43361679193644725,-0.014948557270472177
Trachinidae,0.0018518981079774619,0.05549400832849088,-4.2827210423815676e-5,-0.007713707624846355,0.0018518981079774623,0.04857257581121057,-8.172225853439459e-4,0.055678665031520455
Varunidae,-0.08078802116736215,0.047732798523048826,0.009857854667174586,0.031346567978091815,-0.06548485280389915,0.009345897881548748,0.048901599284275635,-0.12064321231831233
