Site.Name,Lat,Long,habitat,Date,Time,Depth,Distance,Q.PA,Phylum,Genus,Species,Length,Abundance,Country,width.transect,width.seine,length.measured,SPECIES_NAME,phylum,family,eat.squid
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,66,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75303,-116.62586,Seagrass,20160627,1010,70,38,Q,Arthropoda,Callinectes,arcuatus,72,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Punta Banda Estuary,31.75311,-116.62514,Unvegetated,20160626,820,80,38,Q,Arthropoda,Callinectes,arcuatus,110,1,Mexico (BN),9,9,yes,Callinectes arcuatus,Arthropoda,Portunidae,1
Praia do Barreiro,-23.76199,-45.34991,Unvegetated,20170309,1030,100,30,Q,Arthropoda,Callinectes,danae,72,1,Brazil,10,10,yes,Callinectes danae,Arthropoda,Portunidae,1
Praia do Barreiro,-23.76199,-45.34991,Unvegetated,20170310,1030,90,37,Q,Arthropoda,Callinectes,ornatus,22,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Barreiro,-23.76199,-45.34991,Unvegetated,20170309,1030,100,30,Q,Arthropoda,Callinectes,ornatus,24,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170308,915,120,32,Q,Arthropoda,Callinectes,ornatus,25,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Barreiro,-23.76199,-45.34991,Unvegetated,20170309,1030,100,30,Q,Arthropoda,Callinectes,ornatus,26,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,27,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170309,930,110,35,Q,Arthropoda,Callinectes,ornatus,33,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,33,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,33,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,34,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,34,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Barreiro,-23.76199,-45.34991,Unvegetated,20170308,1100,110,25,Q,Arthropoda,Callinectes,ornatus,35,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,37,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,39,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170308,915,120,32,Q,Arthropoda,Callinectes,ornatus,52,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170308,915,120,32,Q,Arthropoda,Callinectes,ornatus,53,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,53,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Barreiro,-23.76199,-45.34991,Unvegetated,20170310,1030,90,37,Q,Arthropoda,Callinectes,ornatus,54,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170310,845,80,30,Q,Arthropoda,Callinectes,ornatus,58,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
Praia do Engenho,-23.78863,-45.36364,Seagrass,20170308,915,120,32,Q,Arthropoda,Callinectes,ornatus,61,1,Brazil,10,10,yes,Callinectes ornatus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Callinectes,sapidus,3,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8912833,-97.1112167,Unvegetated,20160823,800,60,20,Q,Arthropoda,Callinectes,sapidus,6,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,9,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
"UD Lewes, DE",38.472539,-75.9491,Unvegetated,20160621,1500,150,10,Q,Arthropoda,Callinectes,sapidus,10,1,USA (DE),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Callinectes,sapidus,10,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Callinectes,sapidus,10,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Callinectes,sapidus,10,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Callinectes,sapidus,10,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,10,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8911167,-97.1116167,Seagrass,20160823,730,60,20,Q,Arthropoda,Callinectes,sapidus,10,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8912833,-97.1112167,Unvegetated,20160823,800,60,20,Q,Arthropoda,Callinectes,sapidus,10,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8912833,-97.1112167,Unvegetated,20160823,800,60,20,Q,Arthropoda,Callinectes,sapidus,10,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,11,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Laguna Madre,27.6325167,-97.2879667,Seagrass,20160803,756,60,20,Q,Arthropoda,Callinectes,sapidus,12,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,12,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8912833,-97.1112167,Unvegetated,20160902,832,60,20,Q,Arthropoda,Callinectes,sapidus,12,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160707,816,90,20,Q,Arthropoda,Callinectes,sapidus,13,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,13,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,13,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,13,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,14,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,14,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,14,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,15,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,15,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,15,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,15,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68751,-75.86738,Unvegetated,20160621,1115,100,15,Q,Arthropoda,Callinectes,sapidus,15,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160707,816,90,20,Q,Arthropoda,Callinectes,sapidus,16,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,16,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,16,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,16,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8912833,-97.1112167,Unvegetated,20160823,800,60,20,Q,Arthropoda,Callinectes,sapidus,16,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160707,816,90,20,Q,Arthropoda,Callinectes,sapidus,18,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,18,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,18,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160720,855,60,20,Q,Arthropoda,Callinectes,sapidus,18,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV2,37.68154,-75.86672,Seagrass,20160622,1115,100,8.5,Q,Arthropoda,Callinectes,sapidus,18,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Laguna Madre,27.6325167,-97.2879667,Seagrass,20160727,815,90,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160707,816,90,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8911167,-97.1116167,Seagrass,20160823,730,60,20,Q,Arthropoda,Callinectes,sapidus,19,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,19,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,20,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,20,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,20,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160720,855,60,20,Q,Arthropoda,Callinectes,sapidus,20,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,20,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,21,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,21,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,21,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,21,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8912833,-97.1112167,Unvegetated,20160823,800,60,20,Q,Arthropoda,Callinectes,sapidus,21,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,22,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,22,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,22,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,22,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160720,855,60,20,Q,Arthropoda,Callinectes,sapidus,22,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160720,855,60,20,Q,Arthropoda,Callinectes,sapidus,22,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Callinectes,sapidus,23,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160707,816,90,20,Q,Arthropoda,Callinectes,sapidus,23,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,23,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,23,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,24,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,24,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,24,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,24,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160815,1410,60,39,Q,Arthropoda,Callinectes,sapidus,25,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,25,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.3222833,Seagrass,20160707,930,90,20,Q,Arthropoda,Callinectes,sapidus,25,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,25,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160707,816,90,20,Q,Arthropoda,Callinectes,sapidus,26,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,26,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,26,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,26,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,27,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,27,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,27,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,28,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,28,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8911167,-97.1116167,Seagrass,20160823,730,60,20,Q,Arthropoda,Callinectes,sapidus,28,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160720,830,60,20,Q,Arthropoda,Callinectes,sapidus,29,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,29,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV2,37.68154,-75.86672,Seagrass,20160622,1115,100,8.5,Q,Arthropoda,Callinectes,sapidus,29,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7073833,-97.3241167,Unvegetated,20160714,803,70,20,Q,Arthropoda,Callinectes,sapidus,30,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Aransas Pass,27.8911167,-97.1116167,Seagrass,20160823,730,60,20,Q,Arthropoda,Callinectes,sapidus,30,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
PungSAV1,37.68882,-75.86724,Seagrass,20160621,1000,100,15,Q,Arthropoda,Callinectes,sapidus,30,1,USA (VA2),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,31,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
Oso Bay,27.7074333,-97.32295,Seagrass,20160714,847,70,20,Q,Arthropoda,Callinectes,sapidus,31,1,USA (TX),10,NA,yes,Callinectes sapidus,Arthropoda,Portunidae,1
NC,34.69099,-76.62199,Seagrass,20160816,1352,50,44.5,Q,Arthropoda,Callinectes,sapidus,32,1,USA (NC),7,7,yes,Callinectes sapidus,Arthropoda,Portunidae,1
