Site,abLat,habitat,rate,sstmean,temp,chlomean,ENSPIE,richness,cpua,logbio,catch_min,catch_max,catch_mean,pop,pop30,hemi,coast,logcatch,logpop,logpop30,logchl,logabun,MDS1,MDS2,bio.filt,cpua.filt,act.ratio,FRic,qual.FRic,FEve,FDis,RaoQ,FGR,act,feed,troph,watercol,body,length,log.mass.rda,log.cpua.rda
MA,42.42026,Seagrass,0.005416791,10.31599998,13.05555556,6.379750013,2,2,0.023809524,-1.093736516,0.292340083,1910.682084,864.449097,2111.651367,1554.211472,North,West,2.936739425,3.324622218,3.19151011,0.804803661,-1.62324929,-0.323291897,0.575792996,0,0,0.25,0,0.126088172,0.5,0.200000007,0.08,2,1,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal,48.81544503,-3,-2.522878745
MA,42.42044,Unvegetated,0.001733165,10.31599998,12.77777778,6.379750013,1.628571429,1.857142857,0.012741435,-0.674500498,0.292340083,1910.682084,864.449097,2111.651367,1554.211472,North,West,2.936739425,3.324622218,3.19151011,0.804803661,-1.894781658,-1.089897081,0.578439037,0,0,0,0,0.126088172,1,0.115470054,0.013333333,2,1,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep,103.4090909,-3,-2.522878745
MA,42.42046,Seagrass,0.005416791,10.31599998,13.05555556,6.379750013,2,2,0.023809524,-1.093736516,0.292340083,1910.682084,864.449097,2111.651367,1554.211472,North,West,2.936739425,3.324622218,3.19151011,0.804803661,-1.62324929,-0.323291897,0.575792996,0,0,0.25,0,0.126088172,0.5,0.200000007,0.08,2,1,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal,48.81544503,-3,-2.522878745
MA,42.42057,Unvegetated,0,10.31599998,12.77777778,6.379750013,1.628571429,1.857142857,0.012741435,-0.674500498,0.292340083,1910.682084,864.449097,2111.651367,1554.211472,North,West,2.936739425,3.324622218,3.19151011,0.804803661,-1.894781658,-1.089897081,0.578439037,0,0,0,0,0.126088172,1,0.115470054,0.013333333,2,1,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep,103.4090909,-3,-2.522878745
Baja,31.753106,Unvegetated,0.011590585,17.81433296,24.71777778,5.229000012,2.680846837,6.605095541,0.353527923,0.070212889,NA,NA,NA,630.1166992,145.6697707,North,East,NA,2.799420989,2.163369437,0.718418643,-0.451576279,0.100351659,-0.67621842,0.654895793,0.06929923,0.583333333,0.036733711,0.126088172,0.9,0.476873583,0.247743056,3,0,hunting macrofauna (predator),benthic invertivore,benthic,elongated,64.60012848,-0.183165155,-1.140866327
Baja,31.753025,Seagrass,0.038131567,17.81433296,25.34111111,5.229000012,3.379880104,8.396475771,0.291127209,0.148924744,NA,NA,NA,630.1166992,145.6697707,North,East,NA,2.799420989,2.163369437,0.718418643,-0.535917203,-0.199769504,-0.738806911,1.441238475,0.201276066,0.5,0.05850976,0.126088172,0.9,0.4563308,0.229548611,4,1,hunting macrofauna (predator),benthic invertivore,benthic,elongated,59.79960944,0.159037077,-0.689782515
Baja,31.753106,Unvegetated,0.011590585,17.81433296,24.71777778,5.229000012,2.680846837,6.605095541,0.353527923,0.070212889,NA,NA,NA,630.1166992,145.6697707,North,East,NA,2.799420989,2.163369437,0.718418643,-0.451576279,0.100351659,-0.67621842,0.654895793,0.06929923,0.583333333,0.036733711,0.126088172,0.9,0.476873583,0.247743056,3,0,hunting macrofauna (predator),benthic invertivore,benthic,elongated,64.60012848,-0.183165155,-1.140866327
Baja,31.753025,Seagrass,0.233433002,17.81433296,25.34111111,5.229000012,3.379880104,8.396475771,0.291127209,0.148924744,NA,NA,NA,630.1166992,145.6697707,North,East,NA,2.799420989,2.163369437,0.718418643,-0.535917203,-0.199769504,-0.738806911,1.441238475,0.201276066,0.5,0.05850976,0.126088172,0.9,0.4563308,0.229548611,4,1,hunting macrofauna (predator),benthic invertivore,benthic,elongated,59.79960944,0.159037077,-0.689782515
Baja,31.753106,Unvegetated,0.036677784,17.81433296,24.71777778,5.229000012,2.680846837,6.605095541,0.353527923,0.070212889,NA,NA,NA,630.1166992,145.6697707,North,East,NA,2.799420989,2.163369437,0.718418643,-0.451576279,0.100351659,-0.67621842,0.654895793,0.06929923,0.583333333,0.036733711,0.126088172,0.9,0.476873583,0.247743056,3,0,hunting macrofauna (predator),benthic invertivore,benthic,elongated,64.60012848,-0.183165155,-1.140866327
Baja,31.753025,Seagrass,0.600000009,17.81433296,25.34111111,5.229000012,3.379880104,8.396475771,0.291127209,0.148924744,NA,NA,NA,630.1166992,145.6697707,North,East,NA,2.799420989,2.163369437,0.718418643,-0.535917203,-0.199769504,-0.738806911,1.441238475,0.201276066,0.5,0.05850976,0.126088172,0.9,0.4563308,0.229548611,4,1,hunting macrofauna (predator),benthic invertivore,benthic,elongated,59.79960944,0.159037077,-0.689782515
CA,32.76538,Seagrass,0.202973815,17.25,21.86777778,2.251666705,3.261091466,12.78220859,1.210205183,1.072707415,519.9904765,519.9904765,519.9904765,1301.595337,1988.445068,North,East,2.71599539,3.114475984,3.298513598,0.352504106,0.082859009,-0.629691273,-0.570660532,5.832488727,0.286750176,0.444444444,0.08432149,0.126088172,0.875,0.471025772,0.245208333,5,1,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,69.2197121,0.765928363,-0.537976292
CA,32.76538,Unvegetated,0.016247096,17.25,21.83111111,2.251666705,1.537807818,8.928571429,0.456515742,0.577470693,519.9904765,519.9904765,519.9904765,1301.595337,1988.445068,North,East,2.71599539,3.114475984,3.298513598,0.352504106,-0.340544242,-0.555155006,-0.456184807,0.879798482,0.158866289,0.25,0.044770223,0.126088172,0.8,0.403854682,0.200277778,3,1,hunting macrofauna (predator),benthic invertivore,benthic,elongated,66.78712047,-0.055123442,-0.790843589
CA,32.76538,Seagrass,0.005416791,17.25,21.86777778,2.251666705,3.261091466,12.78220859,1.210205183,1.072707415,519.9904765,519.9904765,519.9904765,1301.595337,1988.445068,North,East,2.71599539,3.114475984,3.298513598,0.352504106,0.082859009,-0.629691273,-0.570660532,5.832488727,0.286750176,0.444444444,0.08432149,0.126088172,0.875,0.471025772,0.245208333,5,1,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,69.2197121,0.765928363,-0.537976292
CA,32.76538,Unvegetated,0.052525155,17.25,21.83111111,2.251666705,1.537807818,8.928571429,0.456515742,0.577470693,519.9904765,519.9904765,519.9904765,1301.595337,1988.445068,North,East,2.71599539,3.114475984,3.298513598,0.352504106,-0.340544242,-0.555155006,-0.456184807,0.879798482,0.158866289,0.25,0.044770223,0.126088172,0.8,0.403854682,0.200277778,3,1,hunting macrofauna (predator),benthic invertivore,benthic,elongated,66.78712047,-0.055123442,-0.790843589
Croatia,44.20607,Seagrass,0,15.77700043,22,0.612999976,4.48628033,9.110803324,0.293171178,0.149747818,0.305920588,717.2428058,358.7743632,130.7260132,83.22915516,North,East,2.554821402,2.116362016,1.920275486,-0.212539543,-0.532878728,0.444377494,0.592003666,1.337311302,0.27966962,0.6875,0.25890383,0.126088172,0.785714286,0.437167388,0.210175781,4,0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,63.09912652,0.126557146,-0.548720865
Croatia,44.20607,Unvegetated,0.202973815,15.77700043,21.94444444,0.612999976,1.495178742,7.542168675,0.166588111,-0.526797327,0.305920588,717.2428058,358.7743632,130.7260132,83.22915516,North,East,2.554821402,2.116362016,1.920275486,-0.212539543,-0.778355997,0.432336852,0.585415141,0.247755543,0.171166056,0.571428571,0.051645317,0.126088172,0.916666667,0.480499131,0.244566327,4,0,hunting macrofauna (predator),omnivore,benthic,fusiform / normal,63.6956414,-0.604227233,-0.759036482
Croatia,44.20607,Seagrass,0,15.77700043,22,0.612999976,4.48628033,9.110803324,0.293171178,0.149747818,0.305920588,717.2428058,358.7743632,130.7260132,83.22915516,North,East,2.554821402,2.116362016,1.920275486,-0.212539543,-0.532878728,0.444377494,0.592003666,1.337311302,0.27966962,0.6875,0.25890383,0.126088172,0.785714286,0.437167388,0.210175781,4,0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,63.09912652,0.126557146,-0.548720865
Croatia,44.202902,Unvegetated,0.202973815,15.77700043,21.94444444,0.612999976,1.495178742,7.542168675,0.166588111,-0.526797327,0.305920588,717.2428058,358.7743632,130.7260132,83.22915516,North,East,2.554821402,2.116362016,1.920275486,-0.212539543,-0.778355997,0.432336852,0.585415141,0.247755543,0.171166056,0.571428571,0.051645317,0.126088172,0.916666667,0.480499131,0.244566327,4,0,hunting macrofauna (predator),omnivore,benthic,fusiform / normal,63.6956414,-0.604227233,-0.759036482
Croatia,44.20607,Seagrass,0,15.77700043,22,0.612999976,4.48628033,9.110803324,0.293171178,0.149747818,0.305920588,717.2428058,358.7743632,130.7260132,83.22915516,North,East,2.554821402,2.116362016,1.920275486,-0.212539543,-0.532878728,0.444377494,0.592003666,1.337311302,0.27966962,0.6875,0.25890383,0.126088172,0.785714286,0.437167388,0.210175781,4,0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,63.09912652,0.126557146,-0.548720865
Croatia,44.202902,Unvegetated,0.202973815,15.77700043,21.94444444,0.612999976,1.495178742,7.542168675,0.166588111,-0.526797327,0.305920588,717.2428058,358.7743632,130.7260132,83.22915516,North,East,2.554821402,2.116362016,1.920275486,-0.212539543,-0.778355997,0.432336852,0.585415141,0.247755543,0.171166056,0.571428571,0.051645317,0.126088172,0.916666667,0.480499131,0.244566327,4,0,hunting macrofauna (predator),omnivore,benthic,fusiform / normal,63.6956414,-0.604227233,-0.759036482
BC,51.68157,Unvegetated,0,9.530999819,12.60833333,10.41983334,1.515151515,1.727272727,0.084848485,-0.517823053,7.572055284,101.2077958,54.38992554,0.00493075,0.003969169,North,East,1.735518464,-2.307087058,-2.401300416,1.017860773,-1.071355909,-0.802093128,0.211179831,0,0,0,0,0.126088172,0.98630869,0.364945229,0.146666667,2,1,hunting macrofauna (predator),higher carnivore,benthic,elongated,74.18032787,-3,-2.522878745
BC,51.67617,Seagrass,0,9.530999819,12.1,10.41983334,2.511517352,12.53968254,0.648232804,0.65883735,7.572055284,101.2077958,54.38992554,0.00493075,0.003969169,North,East,1.735518464,-2.307087058,-2.401300416,1.017860773,-0.188268995,-1.014704365,0.149175362,0,0,0.315789474,0.066023727,0.126088172,0.764705882,0.406031974,0.19216759,4,1,hunting macrofauna (predator),higher carnivore,benthic,elongated,57.78552219,-3,-2.522878745
BC,51.681421,Unvegetated,0.005416791,9.530999819,12.60833333,10.41983334,1.515151515,1.727272727,0.084848485,-0.517823053,7.572055284,101.2077958,54.38992554,0.00493075,0.003969169,North,East,1.735518464,-2.307087058,-2.401300416,1.017860773,-1.071355909,-0.802093128,0.211179831,0,0,0,0,0.126088172,0.98630869,0.364945229,0.146666667,2,1,hunting macrofauna (predator),higher carnivore,benthic,elongated,74.18032787,-3,-2.522878745
BC,51.676307,Seagrass,0.005416791,9.530999819,12.1,10.41983334,2.511517352,12.53968254,0.648232804,0.65883735,7.572055284,101.2077958,54.38992554,0.00493075,0.003969169,North,East,1.735518464,-2.307087058,-2.401300416,1.017860773,-0.188268995,-1.014704365,0.149175362,0,0,0.315789474,0.066023727,0.126088172,0.764705882,0.406031974,0.19216759,4,1,hunting macrofauna (predator),higher carnivore,benthic,elongated,57.78552219,-3,-2.522878745
BC,51.681421,Unvegetated,0.005780618,9.530999819,12.60833333,10.41983334,1.515151515,1.727272727,0.084848485,-0.517823053,7.572055284,101.2077958,54.38992554,0.00493075,0.003969169,North,East,1.735518464,-2.307087058,-2.401300416,1.017860773,-1.071355909,-0.802093128,0.211179831,0,0,0,0,0.126088172,0.98630869,0.364945229,0.146666667,2,1,hunting macrofauna (predator),higher carnivore,benthic,elongated,74.18032787,-3,-2.522878745
BC,51.676307,Seagrass,0.001733165,9.530999819,12.1,10.41983334,2.511517352,12.53968254,0.648232804,0.65883735,7.572055284,101.2077958,54.38992554,0.00493075,0.003969169,North,East,1.735518464,-2.307087058,-2.401300416,1.017860773,-0.188268995,-1.014704365,0.149175362,0,0,0.315789474,0.066023727,0.126088172,0.764705882,0.406031974,0.19216759,4,1,hunting macrofauna (predator),higher carnivore,benthic,elongated,57.78552219,-3,-2.522878745
WA,47.351,Seagrass,0.005416791,10.95100021,20.21111111,7.766499996,1.475877518,6.471698113,1.76801188,1.122137226,31.12458891,243.199417,148.6835224,1050.122314,590.7819366,North,East,2.172262841,3.021239887,2.771427208,0.890225346,0.247485179,-0.886836958,-0.097344049,0,0,0.555555556,0.024704256,0.126088172,0.857142857,0.526506857,0.284135802,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,eel-like,68.99436869,-3,-2.522878745
WA,47.3503,Seagrass,0.005416791,10.95100021,20.21111111,7.766499996,1.475877518,6.471698113,1.76801188,1.122137226,31.12458891,243.199417,148.6835224,1050.122314,590.7819366,North,East,2.172262841,3.021239887,2.771427208,0.890225346,0.247485179,-0.886836958,-0.097344049,0,0,0.555555556,0.024704256,0.126088172,0.857142857,0.526506857,0.284135802,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,eel-like,68.99436869,-3,-2.522878745
WA,47.35,Unvegetated,0.005416791,10.95100021,19.55555556,7.766499996,1,1,0.01754386,-0.177242808,31.12458891,243.199417,148.6835224,1050.122314,590.7819366,North,East,2.172262841,3.021239887,2.771427208,0.890225346,-1.755874856,-0.700590355,0.040998734,0,0,1,0,0.126088172,0,0,0,1,0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,65.30235294,-3,-2.522878745
WA,47.349,Unvegetated,0.007380296,10.95100021,19.55555556,7.766499996,1,1,0.01754386,-0.177242808,31.12458891,243.199417,148.6835224,1050.122314,590.7819366,North,East,2.172262841,3.021239887,2.771427208,0.890225346,-1.755874856,-0.700590355,0.040998734,0,0,1,0,0.126088172,0,0,0,1,0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,65.30235294,-3,-2.522878745
WA,47.346,Unvegetated,0,10.95100021,19.55555556,7.766499996,1,1,0.01754386,-0.177242808,31.12458891,243.199417,148.6835224,1050.122314,590.7819366,North,East,2.172262841,3.021239887,2.771427208,0.890225346,-1.755874856,-0.700590355,0.040998734,0,0,1,0,0.126088172,0,0,0,1,0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,65.30235294,-3,-2.522878745
WA,47.346,Seagrass,0.001733165,10.95100021,20.21111111,7.766499996,1.475877518,6.471698113,1.76801188,1.122137226,31.12458891,243.199417,148.6835224,1050.122314,590.7819366,North,East,2.172262841,3.021239887,2.771427208,0.890225346,0.247485179,-0.886836958,-0.097344049,0,0,0.555555556,0.024704256,0.126088172,0.857142857,0.526506857,0.284135802,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,eel-like,68.99436869,-3,-2.522878745
CA3,36.809236,Unvegetated,0,13.0710001,15.56666667,11.91350031,3.255263158,4.368421053,0.030526316,-0.876831384,272.7159599,765.1103225,518.9131412,571.930481,332.5426559,North,East,2.715094669,2.757343243,2.521847361,1.07603938,-1.515325607,-0.456167905,-0.280556243,0.003975781,0.012,0.777777778,0.022019602,0.126088172,0.714285714,0.555430744,0.316944444,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal,59.94765321,-2.303138749,-1.823908741
CA3,36.810708,Seagrass,0.202973815,13.0710001,15.83888889,11.91350031,4.654145996,7.352941176,0.095294118,-0.07287627,272.7159599,765.1103225,518.9131412,571.930481,332.5426559,North,East,2.715094669,2.757343243,2.521847361,1.07603938,-1.020933907,-0.789902338,0.740065104,9.94E-04,0.004,0.666666667,0.057268521,0.126088172,0.6,0.49016767,0.245902778,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,short and / or deep,63.03808608,-2.700318916,-2.15490196
CA3,36.810708,Seagrass,0.125320912,13.0710001,15.83888889,11.91350031,4.654145996,7.352941176,0.095294118,-0.07287627,272.7159599,765.1103225,518.9131412,571.930481,332.5426559,North,East,2.715094669,2.757343243,2.521847361,1.07603938,-1.020933907,-0.789902338,0.740065104,9.94E-04,0.004,0.666666667,0.057268521,0.126088172,0.6,0.49016767,0.245902778,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,short and / or deep,63.03808608,-2.700318916,-2.15490196
CA3,36.809236,Unvegetated,0,13.0710001,15.56666667,11.91350031,3.255263158,4.368421053,0.030526316,-0.876831384,272.7159599,765.1103225,518.9131412,571.930481,332.5426559,North,East,2.715094669,2.757343243,2.521847361,1.07603938,-1.515325607,-0.456167905,-0.280556243,0.003975781,0.012,0.777777778,0.022019602,0.126088172,0.714285714,0.555430744,0.316944444,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal,59.94765321,-2.303138749,-1.823908741
CA3,36.810708,Seagrass,0.074554106,13.0710001,15.83888889,11.91350031,4.654145996,7.352941176,0.095294118,-0.07287627,272.7159599,765.1103225,518.9131412,571.930481,332.5426559,North,East,2.715094669,2.757343243,2.521847361,1.07603938,-1.020933907,-0.789902338,0.740065104,9.94E-04,0.004,0.666666667,0.057268521,0.126088172,0.6,0.49016767,0.245902778,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,short and / or deep,63.03808608,-2.700318916,-2.15490196
CA3,36.809236,Unvegetated,0.003536727,13.0710001,15.56666667,11.91350031,3.255263158,4.368421053,0.030526316,-0.876831384,272.7159599,765.1103225,518.9131412,571.930481,332.5426559,North,East,2.715094669,2.757343243,2.521847361,1.07603938,-1.515325607,-0.456167905,-0.280556243,0.003975781,0.012,0.777777778,0.022019602,0.126088172,0.714285714,0.555430744,0.316944444,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal,59.94765321,-2.303138749,-1.823908741
WA2,48.48532472,Seagrass,0,9.515500307,16.325,2.479000032,2.811641979,7.848360656,2.413782228,1.219169689,761.4425529,1496.749017,1129.095785,38.53870392,363.7764072,North,East,3.052730786,1.585897105,2.560834529,0.394276532,0.382698085,-0.860245584,0.100644571,0,0,0.666666667,0.060485491,0.126088172,0.714285714,0.504428677,0.256975309,4,0,hunting macrofauna (predator),omnivore,benthic,eel-like,70.8998788,-3,-2.522878745
WA2,48.48532472,Unvegetated,0,9.515500307,16.67083333,2.479000032,1.864689978,4.713286713,1.425620053,1.44581914,761.4425529,1496.749017,1129.095785,38.53870392,363.7764072,North,East,3.052730786,1.585897105,2.560834529,0.394276532,0.154003796,-1.004777575,0.297115641,0,0,0.625,0.02212532,0.126088172,0.833333333,0.51006502,0.269140625,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,eel-like,70.95043186,-3,-2.522878745
WA2,48.48532472,Seagrass,0.001733165,9.515500307,16.325,2.479000032,2.811641979,7.848360656,2.413782228,1.219169689,761.4425529,1496.749017,1129.095785,38.53870392,363.7764072,North,East,3.052730786,1.585897105,2.560834529,0.394276532,0.382698085,-0.860245584,0.100644571,0,0,0.666666667,0.060485491,0.126088172,0.714285714,0.504428677,0.256975309,4,0,hunting macrofauna (predator),omnivore,benthic,eel-like,70.8998788,-3,-2.522878745
WA2,48.48532472,Unvegetated,0,9.515500307,16.67083333,2.479000032,1.864689978,4.713286713,1.425620053,1.44581914,761.4425529,1496.749017,1129.095785,38.53870392,363.7764072,North,East,3.052730786,1.585897105,2.560834529,0.394276532,0.154003796,-1.004777575,0.297115641,0,0,0.625,0.02212532,0.126088172,0.833333333,0.51006502,0.269140625,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,eel-like,70.95043186,-3,-2.522878745
WA2,48.48532472,Seagrass,0.003536727,9.515500307,16.325,2.479000032,2.811641979,7.848360656,2.413782228,1.219169689,761.4425529,1496.749017,1129.095785,38.53870392,363.7764072,North,East,3.052730786,1.585897105,2.560834529,0.394276532,0.382698085,-0.860245584,0.100644571,0,0,0.666666667,0.060485491,0.126088172,0.714285714,0.504428677,0.256975309,4,0,hunting macrofauna (predator),omnivore,benthic,eel-like,70.8998788,-3,-2.522878745
WA2,48.48532472,Unvegetated,0.011590585,9.515500307,16.67083333,2.479000032,1.864689978,4.713286713,1.425620053,1.44581914,761.4425529,1496.749017,1129.095785,38.53870392,363.7764072,North,East,3.052730786,1.585897105,2.560834529,0.394276532,0.154003796,-1.004777575,0.297115641,0,0,0.625,0.02212532,0.126088172,0.833333333,0.51006502,0.269140625,3,0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,eel-like,70.95043186,-3,-2.522878745
DE,38.472539,Unvegetated,0,NA,NA,NA,2.019920319,4,0.39,-0.163136461,1.273972093,1310.12028,473.637562,8.701536179,27.62395167,North,West,2.675446137,0.93959593,1.441285806,NA,-0.408935393,-0.608147183,-1.074124869,0.450132305,0.29,0.75,0.003158087,0.126088172,0.988655802,0.505913983,0.27140625,3,0,variable,omnivore,benthic,elongated;fusiform / normal,50.44284449,-0.345696072,-0.53313238
DE,38.472539,Unvegetated,0.007380296,NA,NA,NA,2.019920319,4,0.39,-0.163136461,1.273972093,1310.12028,473.637562,8.701536179,27.62395167,North,West,2.675446137,0.93959593,1.441285806,NA,-0.408935393,-0.608147183,-1.074124869,0.450132305,0.29,0.75,0.003158087,0.126088172,0.988655802,0.505913983,0.27140625,3,0,variable,omnivore,benthic,elongated;fusiform / normal,50.44284449,-0.345696072,-0.53313238
DE,38.472539,Unvegetated,0.005657513,NA,NA,NA,2.019920319,4,0.39,-0.163136461,1.273972093,1310.12028,473.637562,8.701536179,27.62395167,North,West,2.675446137,0.93959593,1.441285806,NA,-0.408935393,-0.608147183,-1.074124869,0.450132305,0.29,0.75,0.003158087,0.126088172,0.988655802,0.505913983,0.27140625,3,0,variable,omnivore,benthic,elongated;fusiform / normal,50.44284449,-0.345696072,-0.53313238
VA,37.215796,Seagrass,0.092511865,16.06725025,29.57762,15.49100018,1.540106952,3,0.12,0.050026805,2.34E-05,1844.297527,922.148775,819.2712402,228.353344,North,West,2.964800994,2.91342771,2.358607376,1.190079459,-0.920818754,0.053320448,-1.735819552,0.83905551,0.025,1,0,0.126088172,0.99040411,0.529947285,0.284722222,2,0,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,elongated,70.07357534,-0.075692015,-1.552841969
VA,37.215796,Unvegetated,0.080080287,16.06725025,29.57762,15.49100018,NA,NA,NA,NA,2.34E-05,1844.297527,922.148775,819.2712402,228.353344,North,West,2.964800994,2.91342771,2.358607376,1.190079459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
