Site Name,Country,Lat,Long,Seagrass/Unveg,Date,Time,Temp,Sal,Measurment Number,Data Collector,Notes,Participant List,Contact Email
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161205,615,25,34,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Choked Pocket,Canada (BC),51.67638,-128.12363,Seagrass,20160705,827,12.1,31.19,1,Ben Millard-Martin,,Kaia Bryce,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.67638,-128.12363,Seagrass,20160705,827,12,31.23,2,Ben Millard-Martin,,Kaia Bryce,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.67638,-128.12363,Seagrass,20160705,827,12,31.24,3,Ben Millard-Martin,,Kaia Bryce,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.676475,-128.123739,Seagrass,20160706,1028,12.1,31,1,Midoli Bresch,,"Zach Monteith, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.676475,-128.123739,Seagrass,20160706,1028,11.6,31.05,2,Midoli Bresch,,"Zach Monteith, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.676475,-128.123739,Seagrass,20160706,1028,11.5,31.07,3,Midoli Bresch,,"Zach Monteith, Krystal Bachen",midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160707,1049,11.9,31.16,1,Zach Monteith,,Midoli Bresch,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160707,1049,11.8,31.16,2,Zach Monteith,,Midoli Bresch,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160707,1049,11.8,31.19,3,Zach Monteith,,Midoli Bresch,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160708,1035,12.9,29.83,1,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160708,1035,12.8,29.84,2,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160708,1035,12.7,30.08,3,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,20160705,845,12,31.4,1,Ben Millard-Martin,,Kaia Bryce,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,20160705,845,12,31.22,2,Ben Millard-Martin,,Kaia Bryce,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,20160705,845,11.9,31.18,3,Ben Millard-Martin,,Kaia Bryce,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,20160706,920,12.5,30.73,1,Midoli Bresch,,"Zach Monteith, Krystal Bachen",midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,20160706,920,12.4,30.83,2,Midoli Bresch,,"Zach Monteith, Krystal Bachen",midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,20160706,920,12.4,30.82,3,Midoli Bresch,,"Zach Monteith, Krystal Bachen",midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160707,915,12.4,30.1,1,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160707,915,12.4,30.13,2,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160707,915,12.4,30.16,3,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160708,940,13.7,26.21,1,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160708,940,13.6,26.45,2,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160708,940,13.6,26.51,3,Midoli Bresch,,Zach Monteith,midoli.bresch@hakai.org
CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,20160701,630,21,19,1,Claudia Kruschel," at all sites  temp and sal taken before the sein netting, temp with regular thermometer, salinity with refractometer ","Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,20160701,630,22,32,2,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,20160701,630,22.5,32,3,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,20160701,645,21.5,20,1,Claudia Kruschel,1= at 10m distance from shore and 30 cm above bottom,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,20160701,645,22.5,30,2,Claudia Kruschel,2= at 30 m distance from shore and 30 cm above bottom,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,20160702,645,22.5,30,3,Claudia Kruschel,3= at 60 m distance from shore and 30 cm above bottom,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,20160701,700,22,20,1,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,20160701,700,22,21,2,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,20160702,700,22,21,3,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,20160701,715,21.5,21,1,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,20160701,715,22,21,2,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,20160701,715,22,21,3,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,20160701,730,22,18,1,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,20160701,730,22,17,2,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,20160701,730,22,18,3,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,20160701,745,22,18,1,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,20160701,745,22,15,2,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,20160701,745,22,17,3,Claudia Kruschel,,"Claudia Kruschel, Marko Mador, Dubravko Pejdo",ckrusche@unizd.hr
Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,20160607,0730,16,32,1,Amelia Weiss,,"Amelia Weiss, Forest Schenck, Dylan Comb",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,20160607,0730,16,32,2,Amelia Weiss,,"Amelia Weiss, Forest Schenck, Dylan Comb",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,20160607,0730,15.5,32,3,Amelia Weiss,,"Amelia Weiss, Forest Schenck, Dylan Comb",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,20160607,0735,15,32,1,Amelia Weiss,,"Amelia Weiss, Forest Schenck, Dylan Comb",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,20160607,0735,15,31,2,Amelia Weiss,,"Amelia Weiss, Forest Schenck, Dylan Comb",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,20160607,0735,15,30,3,Amelia Weiss,,"Amelia Weiss, Forest Schenck, Dylan Comb",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,20160609,0840,10.5,31,1,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,20160609,0840,11,32,2,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,20160609,0840,10.5,32,3,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,20160609,0845,11,32,1,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,20160609,0845,11,31,2,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,20160609,0845,11,31,3,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,20160622,0715,12.5,30,1,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,20160622,0715,12,31,2,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,20160622,0715,12.5,32,3,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,20160622,0720,12.5,33,1,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,20160622,0720,13,31,2,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,20160622,0720,12.5,31,3,Amelia Weiss,,"Amelia Weiss, Forest Schenck",rhughes@northeastern.edu
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170308,0915,26.4,33.4,1,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170308,0915,26.4,33.6,2,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170308,0915,26.3,33.6,3,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170308,1100,26.1,33.3,1,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170308,1100,26.2,33.4,2,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170308,1100,26.1,33.5,3,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170309,0955,26.8,34.6,1,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170309,0955,26.8,34.5,2,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170309,0955,26.8,34.5,3,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170309,1030,26.9,34.0,1,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170309,1030,27.0,34.1,2,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170309,1030,26.8,34.0,3,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170310,0950,27.3,34.4,1,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170310,0950,27.3,34.4,2,,,,
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,20170310,0950,27.3,34.5,3,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170310,1100,27.8,33.1,1,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170310,1100,27.9,32.9,2,,,,
Praia do Barreiro,Brazil,-23.7620,-45.34991,Unveg,20170310,1100,28.0,32.7,3,,,,
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161115,1030,23.5,28.25,1,Dean Janiak,Physical data averaged over an hour using a LOBO data sonde,Dean Janiak,janiakd@si.edu
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161115,1000,23.5,28.25,1,Dean Janiak,Physical data averaged over an hour using a LOBO data sonde,Dean Janiak,janiakd@si.edu
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161117,1130,21.55,27.67,1,Dean Janiak,Physical data averaged over an hour using a LOBO data sonde,Dean Janiak,janiakd@si.edu
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161117,1100,21.55,27.67,1,Dean Janiak,Physical data averaged over an hour using a LOBO data sonde,Dean Janiak,janiakd@si.edu
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,20161121,1230,20.5,28.5,1,Dean Janiak,Physical data averaged over an hour using a LOBO data sonde,Dean Janiak,janiakd@si.edu
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,20161121,1200,20.5,28.5,1,Dean Janiak,Physical data averaged over an hour using a LOBO data sonde,Dean Janiak,janiakd@si.edu
Oso Bay,USA (TX),27.42443,-97.19447,Unveg,20160707,8:16,28,27,1,Meredith Diskin,,"Meredith Diskin, Chris Patrick, Joey Reustle, Kelly Correia, John Medary, Mary Lou, Quincie A, Jennifer Whittman",mdiskin@islander.tamucc.edu
Oso Bay,USA (TX),27.42446,-97.19337,Seagrass,20160707,9:30,27,30,1,Meredith Diskin,,"Meredith Diskin, Chris Patrick, Joey Reustle, Kelly Correia, John Medary, Mary Lou, Quincie A, Jennifer Whittman",mdiskin@islander.tamucc.edu
Oso Bay,USA (TX),27.42443,-97.19447,Unveg,20160714,8:03,27,34,2,Meredith Diskin,,"Meredith Diskin, Chris Patrick, Jennifer Whitt, Joey Reustle, Kelly Correia, Quincie A.",mdiskin@islander.tamucc.edu
Oso Bay,USA (TX),27.42446,-97.19337,Seagrass,20160714,8:42,28,35,2,Meredith Diskin,,"Meredith Diskin, Chris Patrick, Jennifer Whitt, Joey Reustle, Kelly Correia, Quincie A.",mdiskin@islander.tamucc.edu
Oso Bay,USA (TX),27.42443,-97.19447,Unveg,20160720,8:15,30,35,3,Meredith Diskin,,"Meredith Diskin, John Medary, Jennifer Whitt, Joey Reustle, Kelly Correia, Quincie A., Erin Erbin, Lisa Coates",mdiskin@islander.tamucc.edu
Oso Bay,USA (TX),27.42466,-97.19337,Seagrass,20160720,8:15,30,37,3,Meredith Diskin,,"Meredith Diskin, John Medary, Jennifer Whitt, Joey Reustle, Kelly Correia, Quincie A., Erin Erbin, Lisa Coates",mdiskin@islander.tamucc.edu
Laguna Madre,USA (TX),27.37981,-97.17288,Unveg,20160727,8:15,28,37,1,Meredith Diskin,,"Meredith Diskin, Kelly Correia, Jennifer Whitt, Mary Lou, John Medary",mdiskin@islander.tamucc.edu
Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,20160727,8:30,29,39,1,Meredith Diskin,,"Meredith Diskin, Kelly Correia, Jennifer Whitt, Mary Lou, John Medary",mdiskin@islander.tamucc.edu
Laguna Madre,USA (TX),27.37983,-97.17288,Unveg,20160803,7:49,29,40,2,Meredith Diskin,,"Meredith Diskin, John Medary, Jennifer Whitt, Lisa Coates",mdiskin@islander.tamucc.edu
Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,20160803,7:56,28,40,2,Meredith Diskin,,"Meredith Diskin, John Medary, Jennifer Whitt, Lisa Coates",mdiskin@islander.tamucc.edu
Laguna Madre,USA (TX),27.37984,-97.17288,Unveg,20160810,8:35,26,40,3,Meredith Diskin,,"Meredith Diskin, Kelly Correia, Joey Reustle, John Medary",mdiskin@islander.tamucc.edu
Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,20160810,8:35,26,40,3,Meredith Diskin,,"Meredith Diskin, Kelly Correia, Joey Reustle, John Medary",mdiskin@islander.tamucc.edu
Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,20160823,7:30,28,36,1,Meredith Diskin,,"Meredith Diskin, Jennifer Whitt, John Medary, Joey Reustle",mdiskin@islander.tamucc.edu
Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,20160823,7:30,28,35,1,Meredith Diskin,,"Meredith Diskin, Jennifer Whitt, John Medary, Joey Reustle",mdiskin@islander.tamucc.edu
Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,20160901,7:30,28,32,2,Meredith Diskin,,"Meredith Diskin, Jennifer Whitt, John Medary",mdiskin@islander.tamucc.edu
Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,20160901,7:30,28,34,2,Meredith Diskin,,"Meredith Diskin, Jennifer Whitt, John Medary",mdiskin@islander.tamucc.edu
Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,20160909,8:30,28,30,3,Meredith Diskin,,"Meredith Diskin, Joey Reustle, Jennifer Whitt",mdiskin@islander.tamucc.edu
Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,20160909,7:30,28,30,3,Meredith Diskin,,"Meredith Diskin, Joey Reustle, Jennifer Whitt",mdiskin@islander.tamucc.edu
NC,USA (NC),34.69099,-76.62199,Seagrass,20160815,1510,34.3,34,1,Shelby Ziegler,,"Julie Geyer, Max Tice-Lewis, Martin Benavides, Shelby Ziegler",
NC,USA (NC),34.69099,-76.62199,Seagrass,20160815,1510,33.8,34,2,Shelby Ziegler,,"Julie Geyer, Max Tice-Lewis, Martin Benavides, Shelby Ziegler",
NC,USA (NC),34.69099,-76.62199,Seagrass,20160815,1510,33.3,34,3,Shelby Ziegler,,"Julie Geyer, Max Tice-Lewis, Martin Benavides, Shelby Ziegler",
NC,USA (NC),34.69099,-76.62199,Seagrass,20160816,1502,34.1,34,1,Shelby Ziegler,,"Julie Geyer, Matt Kenworthy, Danielle Keller, Shelby Ziegler",
NC,USA (NC),34.69099,-76.62199,Seagrass,20160816,1502,33.9,34,2,Shelby Ziegler,,"Julie Geyer, Matt Kenworthy, Danielle Keller, Shelby Ziegler",
NC,USA (NC),34.69099,-76.62199,Seagrass,20160816,1502,33.1,34,3,Shelby Ziegler,,"Julie Geyer, Matt Kenworthy, Danielle Keller, Shelby Ziegler",
NC,USA (NC),34.69099,-76.62199,Seagrass,20160817,1454,33.4,33,1,Shelby Ziegler,,"Julie Geyer, Danielle Keller, Shelby Ziegler",
