country,Country,siteName,latDecimal,longDecimal,seagrassSpecies,shootDensity.m2,percentCover,canopyHeight,Notes
Canada,Canada (BC),Choked Pocket,51.676377,-128.123561,"Zostera marina, Zostera pacifica",101-500 shoot per square meter,75-100%,51-100 cm,"Zostera at this location may be the newly resurrected Zostera pacifica (Wide leaf eelgrass), but genetic studies would be necessary to confirm"
Chile,Chile,"Puerto Aldea, Coquimbo",-30.293,-71.608228,Heterozostera nigricaulis,,75-100%,51-100 cm,
Croatia,Croatia,CR-B-SvetiDuh,44.20603,15.47262,"Zostera marina, Zostera noltei",101-500 shoot per square meter,26-50%,26-50 cm,
Croatia,Croatia,CR-B-SvetiDuh,44.20628,15.47166,"Zostera marina, Zostera noltei",501-1000 shoots per square meter,51-75%,26-50 cm,
Croatia,Croatia,CR-B-SvetiDuh,44.20671,15.47138,"Zostera marina, Zostera noltei",1001-2000 shoots per square meter,75-100%,26-50 cm,
France,France,Bouzigues (Site A of ZEN),40.7127837,-74.0059413,"Zostera marina, Zostera noltei",101-500 shoot per square meter,75-100%,100-150 cm,this was site A for ZEN 2 2014 survey. Any additional data can be found there
Korea,Korea,Koje,34.7285,128.6047,Zostera marina,101-500 shoot per square meter,51-75%,51-100 cm,Shoot density and canopy height were measured during spring 2017.
Mexico,Mexico (ICML),Punta Allen,19.8271,-87.45401,"Thalassia testudinum, Syringodium filiforme",501-1000 shoots per square meter,51-75%,11-25cm,"accompanied by rhizophytic algae mainly H. incrassata, Penicillus spp. And Rhipocephalus spp."
Mexico,Mexico (ICML2),Puerto Morelos,20.8347,-86.87654,"Thalassia testudinum, Syringodium filiforme",1001-2000 shoots per square meter,51-75%,11-25cm,in the viscinity of a coral reef (aprox. 100m)
Mexico,Mexico (BN),Punta Banda Estuary,31.753025,-116.625858,Zostera marina,1001-2000 shoots per square meter,75-100%,26-50 cm,See additional seagrass meadow characteristics
Norway,Norway,Juvika,67.21451,15.00703,Zostera marina,101-500 shoot per square meter,51-75%,11-25 cm,
Panama,Panama,BT_Stri,9.352389,-82.258333,Thalassia testudinum,101-500 shoot per square meter,51-75%,11-25 cm,
United States,USA (CA3),Elkhorn Slough,36.81067,121.78199,Zostera marina,101-500 shoot per square meter,75-100%,100-150 cm,
United States,USA (WA),Redondo,47.349332,-122.324846,Zostera marina,101-500 shoot per square meter,75-100%,51-100 cm,
United States,USA (NC2),Pine Knoll Shores,34.7004,-76.8335,Halodule wrightii,501-1000 shoots per square meter,51-75%,11-25 cm,
United States,USA (VA2),PungSAV1,37.68882,-75.86724,"Zostera marina, Ruppia maritima",101-500 shoot per square meter,51-75%,26-50 cm,
United States,USA (VA2),PungSAV2,37.68154,-75.86672,"Zostera marina, Ruppia maritima",101-500 shoot per square meter,26-50%,11-25 cm,
United States,USA (VA2),PungSAV3,37.68225,-75.86633,"Zostera marina, Ruppia maritima",51-100 shoots per square meter,26-50%,26-50 cm,
USA,USA (OR),OIMB-Valino-SSNERR,43.315013,-124.320361,Zostera marina,51-100 shoots per square meter,51-75%,51-100 cm,"We actually did measure this for some metrics and in our seagrass bed, density was 88 shoots/m2, average cover was 55.25%"
USA,USA (FL),Harbor Branch,27.536592,-80.34928,"Thalassia testudinum, Halodule wrightii, Syringodium filiforme",0-50 shoots per square meter,0-25%,11-25 cm,
USA,USA (CA2),"Windy Point, Morro Bay",35.34989,-120.844288,Zostera marina,101-500 shoot per square meter,75-100%,0-10 cm,Band of eelgrass is relatively narrow (constricted by deep channel). Bed width = 6 m average. Morro Bay has experienced a 97% decline in eelgrass over the last decade.
USA,USA (WA2),False Bay,48.482697,123.074287,Zostera marina ,0-50 shoots per square meter,0-25%,51-100 cm,"I also have additional density and canopy height metrics from a False Bay this summer, if that would be useful."
USA,USA (MA),Dorothy Cove,42.41978,-70.91522,Zostera marina ,101-500 shoot per square meter,51-75%,51-100 cm,
USA,USA (NC),NC,34.69168,-76.62343,"Zostera marina, Halodule wrightii",1001-2000 shoots per square meter,51-75%,11-25 cm,
USA,USA (AK),Sunshine Cove,58.608348,134.932584,Zostera marina,101-500 shoot per square meter,51-75%,51-100 cm,"This is typical for AK eelgrass in the low intertidal. Highish shoot density, but lover cover because blades are narrow."
