date_MM_DD_YY,seine_location,seine_pull,taxon,species,size_mm,photo,notes
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,35,yes,
7/20/16,"Westside Park, Bodega Harbor",1,kelpfish,kelpfish,70,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,38,yes,vermillion? 
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,stickleback,threespine stickleback,75,yes,female
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,43,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,78,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,36,yes,vermillion? 
7/20/16,"Westside Park, Bodega Harbor",1,stickleback,threespine stickleback,75,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,40,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,35,yes,vermillion? 
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,44,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,35,yes,vermillion?
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,47,yes,
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,,yes,**check pic
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,49,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,36,yes,vermillion?
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,32,yes,vermillion?
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,black rockfish,72,yes,
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,,yes,**check pic
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,35,yes,vermillion?
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,50,yes,vermillion? brown?
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,32,yes,vermillion?
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,60,yes,
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,,yes,**check pic
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,sculpin,staghorn sculpin,75,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,kelpfish,kelpfish,80,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,40,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,42,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,44,yes,
7/20/16,"Westside Park, Bodega Harbor",1,stickleback,threespine stickleback,36,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,36,yes,vermillion?
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,36,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,44,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,34,yes,vermillion?
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,280,yes,
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,49,yes,found death in ulva at lab 
