SpecCode,Species,AutoCtr,StockCode,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,SpecimenType,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
4834,Aphanius fasciatus,6783,5064,212,27610,2.2,6.8,TL,NA,Yes,418,male,0.0094,0.0094,3.31,0.9409,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Messolonghi lagoon (Rebakia), 1989-91",27717,300,Used 'net weight'.,3,1998-11-27T00:00:00Z,3,2012-03-08T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6784,5064,212,27610,2,5,TL,NA,Yes,218,male,0.0097,0.0097,3.22,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Etolikon lagoon (Astrovitsa), 1989-91",27717,300,Used 'net weight'.,3,1998-11-27T00:00:00Z,3,2012-03-08T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6785,5064,212,27610,2,5.8,TL,NA,Yes,293,male,0.01,0.01,3.09,0.9409,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Messolonghi lagoon (Alykes), 1989-91",27717,300,Used 'net weight'.,3,1998-11-27T00:00:00Z,1,2005-12-11T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6786,5064,212,42455,2.8,7.2,TL,NA,NA,137,female,0.01371,0.01371,3.22,0.97003,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Astrovitsa, 1990",33885,300,June,3,2002-08-01T00:00:00Z,NA,2002-08-01T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6787,5064,212,42455,2.4,6.2,TL,NA,NA,118,female,0.01415,0.01415,3.42,0.9799,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Alykes, 1990",33885,300,June,3,2002-08-01T00:00:00Z,NA,2002-08-01T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6788,5064,212,42455,2.2,7,TL,NA,NA,276,female,0.01639,0.01639,3.44,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Rebakia, 1990",33885,300,June,3,2002-08-01T00:00:00Z,NA,2002-08-01T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6789,5064,212,42455,2,6,TL,NA,NA,102,male,0.01094,0.01094,3.11,0.95004,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Alykes, 1990",33885,300,June,3,2002-08-01T00:00:00Z,NA,2002-08-01T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6790,5064,212,42455,2.4,5,TL,NA,NA,160,male,0.01379,0.01379,3.26,0.9799,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Astrovitsa, 1990",33885,300,June,3,2002-08-01T00:00:00Z,NA,2002-08-01T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6791,5064,212,42455,2.4,6.8,TL,NA,NA,185,male,0.01628,0.01628,3.4,0.99002,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Rebakia, 1990",33885,300,June,3,2002-08-01T00:00:00Z,NA,2002-08-01T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6792,5064,212,50932,2.9,5.2,TL,NA,NA,16,unsexed,0.0098,0.0098,3.312,0.95258,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Porto-Lagos, NE Aegean, 1988-90",50932,300,NA,3,2004-04-17T00:00:00Z,NA,2017-04-04T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6793,5064,212,59105,3.8,5.3,TL,NA,NA,11,unsexed,0.0182,NA,2.94,0.909,NA,0.08,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"K<fc><e7><fc>k<e7>ekmece Lagoon, Marmara, 1971-74; 1981 (May-Jun.)",59105,792,NA,3,2009-05-18T00:00:00Z,NA,2011-05-20T00:00:00Z,NA,NA,NA
4834,Aphanius fasciatus,6794,5064,212,59118,2.8,5.3,TL,NA,NA,10,unsexed,0.0099,NA,3.312,0.944,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"River Neretva estuary, middle Adriatic, 2000-2004",59118,191,NA,3,2009-05-06T00:00:00Z,NA,2009-05-07T00:00:00Z,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3799,Apodichthys flavidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,Archosargus probatocephalus,1819,455,330,6937,27.1,27.1,FL,NA,NA,1,unsexed,0.0188,NA,3.091,1,0,0,NA,NA,NA,NA,NA,NA,other,fresh,Southern Florida,6937,840,"Preliminary estimate; intercept forced through a point at or close to the origin by adding a ""zero"" data point.",82,1994-05-13T00:00:00Z,3,2011-07-29T00:00:00Z,NA,NA,NA
441,Archosargus probatocephalus,1820,455,330,7086,0.9,59.1,SL,NA,NA,282,unsexed,0.0296,0.01478,3.045,0.98605,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,North Carolina,7086,840,NA,3,1994-06-14T00:00:00Z,NA,1998-06-02T00:00:00Z,NA,NA,NA
441,Archosargus probatocephalus,1821,455,330,7121,NA,NA,NA,NA,NA,NA,female,0.053,NA,2.85,0.92544,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Louisiana waters, 1987-88",7121,840,NA,3,1994-06-18T00:00:00Z,3,1994-06-18T00:00:00Z,3,1995-04-02T00:00:00Z,NA
441,Archosargus probatocephalus,1822,455,330,7121,NA,NA,NA,NA,NA,NA,male,0.0448,NA,2.88,0.94284,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Louisiana waters, 1987-88",7121,840,NA,3,1994-06-18T00:00:00Z,3,1994-06-18T00:00:00Z,3,1995-04-02T00:00:00Z,NA
441,Archosargus probatocephalus,1823,455,330,80009,4.4,18,TL,NA,NA,22,mixed,0.00789,NA,3.327,0.99401,0.134,0.048,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Espirito Santo (0<b0>S - 25<b0>S), 2003-2004",80009,076,NA,3,2009-01-20T00:00:00Z,2,2014-05-15T00:00:00Z,NA,NA,NA
441,Archosargus probatocephalus,36557,455,NA,95265,3.8,16,SL,NA,NA,137,unsexed,0.0438,NA,2.927,0.974,NA,0.041,NA,NA,NA,NA,2.846,3.008,Type I linear regression,fresh,"Celestun lagoon, Yucatan, 1990-2006",95265,484,Weight range: 1.50 - 140.88 g.,393,2015-04-02T00:00:00Z,NA,2015-04-02T00:00:00Z,NA,NA,NA
441,Archosargus probatocephalus,39353,455,NA,111768,11.7,18.4,TL,NA,NA,7,unsexed,0.0157,NA,3.0853,0.99,NA,NA,NA,NA,0.006,0.0407,2.736,3.438,Type I linear regression,fresh,"Terminos Lagoon, Campeche / 2006-2008",NA,484,NA,65,2017-01-25T00:00:00Z,NA,2017-01-25T00:00:00Z,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16808,Arrhamphus sclerolepis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4048,Artedius lateralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1696,Atherina boyeri,4009,1892,218,5455,NA,NA,NA,NA,NA,329,unsexed,0.00347,NA,3.27,0.94673,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Aberthaw Lagoon, Bristol Channel, 1986-87",5455,826A,NA,3,1993-07-05T00:00:00Z,NA,1993-07-10T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4010,1892,218,27610,NA,NA,TL,NA,Yes,2543,mixed,0.0049,0.0049,3.21,0.9604,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Lake Trichonis, 1988-90",27729,300,Used 'net weight'.,3,1998-11-30T00:00:00Z,3,2012-03-08T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4011,1892,218,36159,2.4,9.7,TL,NA,NA,269,female,0.036,0.036,2.303,0.8649,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Lake Trasimeno, 1986-87",36159,380,NA,363,2000-10-09T00:00:00Z,3,2000-09-10T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4012,1892,218,36159,3.3,8.7,TL,NA,NA,251,male,0.0185,0.0185,2.627,0.8281,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Lake Trasimeno, 1986-87",36159,380,NA,363,2000-10-09T00:00:00Z,3,2000-09-10T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4013,1892,218,50467,NA,NA,TL,NA,yes,11,unsexed,0.06,NA,2.23,0.83906,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Lake Albufera, 2000 (summer)",50467,724,NA,3,2008-10-29T00:00:00Z,3,2012-03-30T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4014,1892,218,50929,NA,NA,FL,NA,NA,NA,female,0.00587,0.00476,3.25,0.95844,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Mar Menor lagoon, SE Iberian Peninsula, 1997-98",50929,724,NA,3,2004-04-12T00:00:00Z,NA,2017-04-04T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4015,1892,218,50929,NA,NA,FL,NA,NA,NA,male,0.00591,0.0048,3.22,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Mar Menor lagoon, SE Iberian Peninsula, 1997-98",50929,724,NA,3,2004-04-12T00:00:00Z,NA,2017-04-04T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4016,1892,218,50932,3.6,9.7,TL,NA,NA,86,unsexed,0.0074,0.0074,2.975,0.97812,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Porto-Lagos, NE Aegean, 1988-90",50932,300,NA,3,2004-04-17T00:00:00Z,NA,2017-04-04T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4017,1892,218,50932,1.1,11.5,TL,NA,NA,706,unsexed,0.0075,0.0075,3.023,0.98605,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Strymon estuary, NW Aegean, 1997-99",50932,300,NA,3,2004-04-17T00:00:00Z,NA,2017-04-04T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4018,1892,218,50932,2.5,10.7,TL,NA,NA,158,unsexed,0.0096,0.0096,2.891,0.98089,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Rihios estuary, NW Aegean, 1997-99",50932,300,NA,3,2004-04-17T00:00:00Z,NA,2017-04-04T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,36254,1892,NA,53342,6.2,11.4,TL,NA,NA,149,unsexed,0.006,NA,3.151,0.934,NA,0.035,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,"North Aegean Sea (Thracian Sea) (39<b0>35<92>-40<b0>54<92>N; 24<b0>22<92>-25<b0>33<92>E), 1996-98",53342,300,NA,393,2014-11-28T00:00:00Z,NA,2014-11-28T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37042,1892,NA,55871,NA,NA,TL,NA,NA,2503,unsexed,0.0055,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,Ria de Aveiro (Nov 1998-Nov 1999),NA,620,NA,2,2016-07-14T00:00:00Z,NA,2016-07-14T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37043,1892,NA,55871,NA,NA,NA,NA,NA,2510,unsexed,0.007,NA,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,Guadalquivir River,109373,724,NA,2,2016-07-14T00:00:00Z,NA,2016-07-14T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37232,1892,NA,58288,NA,NA,TL,NA,NA,256,female,0.00407,0.00407,3.16,0.98,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,Mesolongi & Etolikon lagoonal system (Apr 1989 - Jun 1990),58288,300,NA,2,2016-08-25T00:00:00Z,NA,2016-08-25T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37233,1892,NA,58288,NA,NA,TL,NA,NA,161,male,0.00426,0.00426,3.11,0.95,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,Mesolongi & Etolikon lagoonal system (Apr 1989 - Jun 1990),58288,300,NA,2,2016-08-25T00:00:00Z,NA,2016-08-25T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4019,1892,218,59098,3.9,9.4,FL,NA,NA,1936,unsexed,0.00558,NA,3.26,0.97023,NA,0.013,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Segura River basin (reservoirs), 2000-2004",59098,724,NA,3,2008-10-30T00:00:00Z,3,2011-11-17T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4020,1892,218,59105,3.9,11.1,TL,NA,NA,15,unsexed,0.0035,NA,3.31,0.992,NA,0.036,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"K<fc><e7><fc>k<e7>ekmece Lagoon, Marmara, 1971-74; 1981 (May-Jun.)",59105,792,NA,3,2009-05-18T00:00:00Z,NA,2011-05-20T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4021,1892,218,59105,7.7,12.9,TL,NA,NA,442,unsexed,0.0159,NA,2.66,0.826,NA,0.009,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"<d6>merli Dam, Marmara, 2002-2004",59105,792,NA,3,2009-05-18T00:00:00Z,NA,2011-05-20T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4022,1892,218,59118,3.6,9.8,TL,NA,NA,185,unsexed,0.007,NA,2.95,0.978,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"River Neretva estuary, middle Adriatic, 2000-2004",59118,191,NA,3,2009-05-06T00:00:00Z,NA,2009-05-07T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4023,1892,218,59118,4.5,15.7,TL,NA,NA,710,unsexed,0.0075,NA,2.975,0.98,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"River Mirna estuary, northern Adriatic, 2000-2004",59118,191,NA,3,2009-05-04T00:00:00Z,NA,2009-05-07T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,4024,1892,218,59118,2.5,10.6,TL,NA,NA,385,unsexed,0.0095,NA,2.85,0.981,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"River Cetina estuary, middle Adriatic, 2000-2004",59118,191,NA,3,2009-05-04T00:00:00Z,NA,2009-05-07T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,10297,1892,218,88088,7.6,11.7,TL,NA,NA,14,unsexed,0.0015,NA,3.485,0.992,NA,NA,NA,NA,NA,NA,3.265,3.705,type I linear regression,fresh,"northern Sea of Marmara, 2006-2007 (Nov.-Mar.)",88088,792,NA,3,2011-11-10T00:00:00Z,NA,2011-11-11T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,10298,1892,218,88089,2.5,11.2,TL,NA,NA,606,unsexed,0.0045,NA,3.215,0.974,NA,0.042,NA,NA,NA,NA,NA,NA,Type II linear regression,fresh,"Erdek Bay (27<b0>20'- 27<b0>52' E; 40<b0>18'-40<b0>28' N), Sea of Marmara, 2000-2001",88089,792,NA,3,2011-11-10T00:00:00Z,3,2012-03-15T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,35991,1892,NA,91093,1,9.4,TL,NA,NA,1558,unsexed,0.0043,0.0043,3.187,0.972,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,"Candarli Bay, north Aegean Sea, 2006-2008",91093,792,NA,393,2014-07-29T00:00:00Z,NA,2014-07-29T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37309,1892,NA,107666,NA,NA,TL,NA,NA,NA,female,0.0047,NA,3.176,0.935,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Mellah Lagoon, 2010-2011",107666,012,Length assumed to be TL.,3,2016-08-31T00:00:00Z,NA,2016-08-31T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37310,1892,NA,107666,NA,NA,TL,NA,NA,NA,male,0.0047,NA,3.077,0.935,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Mellah Lagoon, 2010-2011",107666,012,Length assumed to be TL.,3,2016-08-31T00:00:00Z,NA,2016-08-31T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37242,1892,NA,111095,NA,NA,TL,NA,NA,1278,female,0.005,0.005,3.063,0.96,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,"Gomishan wetland, Caspian Sea (Feb-Aug 2007)",111095,364,NA,2,2016-08-25T00:00:00Z,NA,2016-08-25T00:00:00Z,NA,NA,NA
1696,Atherina boyeri,37241,1892,NA,111095,NA,NA,TL,NA,NA,980,male,0.0053,0.0053,3.0181,0.96,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,"Gomishan wetland, Caspian Sea (Feb-Aug 2007)",111095,364,NA,2,2016-08-25T00:00:00Z,NA,2016-08-25T00:00:00Z,NA,NA,NA
7526,Atherinella brasiliensis,8265,7830,623,39376,2.7,15.5,TL,NA,yes,37,unsexed,0.00328,0.00328,3.333,0.99202,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,Rio Grande do Sul (28<b0>-34<b0>S),39376,076,NA,3,2001-08-14T00:00:00Z,113,2007-03-21T00:00:00Z,NA,NA,NA
7526,Atherinella brasiliensis,8266,7830,NA,71685,6.1,11.4,TL,NA,NA,15,Unsexed,0.0036,NA,3.31,0.993,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"Northern region (Curu<e7><e1> Estuary), Par<e1>, 2003-2004",71685,076,NA,564,2009-11-13T00:00:00Z,3,2010-04-29T00:00:00Z,NA,NA,NA
