ID,FAMILY,GENUS,SPECIES_NAME,A,B,CF,SGFGu,ABCfComplete
31,Carangidae,Trachurus,Trachurus declivis,0.0096,3.05,0.919963201,S,Yes
32,Arripidae,Arripis,Arripis spp.,0.0136,2.899,1,Gu,Yes
33,Gerreidae,Parequula,Parequula melbournensis,0.0162,2.92,1,F,Yes
34,Mullidae,Upeneichthys,Upeneichthys vlamingii,0.0097,3.144,0.884955752,G,Yes
35,Pempherididae,Pempheris,Pempheris multiradiata,0.0119,3.026,1,G,Yes
36,Kyphosidae,Girella,Girella elevata,0.0163,3.022,0.960614793,G,Yes
37,Kyphosidae,Girella,Girella tricuspidata,0.0163,3.022,0.960614793,S,Yes
38,Kyphosidae,Kyphosus,Kyphosus sydneyanus,0.0226,3.055,0.945179584,S,Yes
39,Kyphosidae,Girella,Girella zebra,0.0163,3.022,0.960614793,G,Yes
40,Kyphosidae,Scorpis,Scorpis aequipinnis,0.0076,3.136,1,G,Yes
41,Kyphosidae,Scorpis,Scorpis lineolata,0.0076,3.136,1,S,Yes
41,Kyphosidae,Scorpis,Scorpis lineolata,0.0076,3.136,1,S,Yes
42,Kyphosidae,Atypichthys,Atypichthys strigatus,0.0526,2.818,0.9208103,,Yes
43,Enoplosidae,Enoplosus,Enoplosus armatus,0.01355,2.993,1,Gu,Yes
44,Pentacerotidae,Pentaceropsis,Pentaceropsis recurvirostris,0.01355,2.993,1,Gu,Yes
45,Pomacentridae,Chromis,Chromis hypsilepis,0.0144,3.351,0.8826125,,Yes
46,Pomacentridae,Parma,Parma microlepis,0.0179,3.126,1,,Yes
47,Pomacentridae,Parma,Parma victoriae,0.0179,3.126,1,,Yes
48,Aplodactylidae,Aplodactylus,Aplodactylus arctidens,0.0053,3.207,1,S,Yes
49,Cheilodactylidae,Cheilodactylus,Cheilodactylus nigripes,0.016,2.989,1,G,Yes
50,Cheilodactylidae,Cheilodactylus,Cheilodactylus spectabilis,0.016,2.989,1,S,Yes
51,Cheilodactylidae,Dactylophora,Dactylophora nigricans,0.016,2.989,1,F,Yes
52,Cheilodactylidae,Nemadactylus,Nemadactylus macropterus,0.022,2.951,0.891265597,S,Yes
52,Cheilodactylidae,Nemadactylus,Nemadactylus macropterus,0.022,2.951,0.891265597,S,Yes
53,Latridae,Latridopsis,Latridopsis forsteri,0.055,2.713,0.848,,Yes
55,Sphyraenidae,Sphyraena,Sphyraena novaehollandiae,0.024,2.53,0.9363296,,Yes
56,Labridae,Dotalabrus,Dotalabrus aurantiacus,0.0134,2.939,1,F,Yes
57,Labridae,Pictilabrus,Pictilabrus laticlavius,0.0134,2.939,1,F,Yes
58,Labridae,Notolabrus,Notolabrus fucicola,0.0078,3.161,1,S,Yes
60,Labridae,Notolabrus,Notolabrus tetricus,0.0047,3.227,1,G,Yes
62,Odacidae,Siphonognathus,Siphonognathus attenuatus,0.0134,2.939,1,F,Yes
63,Odacidae,Neoodax,Neoodax balteatus,0.0134,2.939,1,F,Yes
64,Odacidae,Siphonognathus,Siphonognathus beddomei,0.0134,2.939,1,F,Yes
65,Odacidae,Haletta,Haletta semifasciata,0.0134,2.939,1,F,Yes
67,Uranoscopidae,Kathetostoma,Kathetostoma laeve,0.015,3.01,1,,Yes
68,Bovichtidae,Bovichtus,Bovichtus angustifrons,0.002,3.675,1,Gu,Yes
69,Tripterygiidae,Forsterygion,Forsterygion varium,0.0177,2.99,0.872600349,S,Yes
71,Clinidae,Cristiceps,Cristiceps australis,0.002,3.675,1,G,Yes
72,Clinidae,Heteroclinus,Heteroclinus tristis,0.0168,2.775,1,G,Yes
73,Clinidae,Heteroclinus,Heteroclinus johnstoni,0.0168,2.775,1,G,Yes
74,Clinidae,Heteroclinus,Heteroclinus perspicillatus,0.0168,2.775,1,G,Yes
75,Blenniidae,Parablennius,Parablennius tasmanianus,0.0084,3.241,1,G,Yes
76,Gobiidae,Callogobius,Callogobius mucosus,0.013,2.882,1,F,Yes
77,Gobiidae,Nesogobius,Nesogobius spp.,0.013,2.882,1,F,Yes
78,Centrolophidae,Seriolella,Seriolella brama,0.0142,3.121,0.9082652,,Yes
79,Gobiesocidae,Aspasmogaster,Aspasmogaster tasmaniensis,0.0088,3.059,1,F,Yes
83,Callionymidae,Eocallionymus,Eocallionymus papilio,0.014,2.709,1,F,Yes
84,Pleuronectidae,Rhombosolea,Rhombosolea tapirina,0.039,2.64,1,S,Yes
85,Monacanthidae,Acanthaluteres,Acanthaluteres spilomelanurus,0.0556,2.877,0.8250825,,Yes
86,Monacanthidae,Brachaluteres,Brachaluteres jacksonianus,0.0256,2.7,1,F,Yes
87,Monacanthidae,Eubalichthys,Eubalichthys gunnii,0.0556,2.877,0.7757952,,Yes
88,Monacanthidae,Meuschenia,Meuschenia australis,0.0556,2.877,0.853242321,G,Yes
89,Monacanthidae,Meuschenia,Meuschenia flavolineata,0.0556,2.877,0.853242321,G,Yes
90,Monacanthidae,Meuschenia,Meuschenia freycineti,0.0556,2.877,0.853242321,G,Yes
91,Monacanthidae,Meuschenia,Meuschenia hippocrepis,0.0556,2.877,0.853242321,G,Yes
92,Monacanthidae,Meuschenia,Meuschenia scaber,0.0556,2.877,0.853242321,S,Yes
92,Monacanthidae,Meuschenia,Meuschenia scaber,0.0556,2.877,0.853242321,S,Yes
93,Monacanthidae,Acanthaluteres,Acanthaluteres vittiger,0.0556,2.877,0.8250825,,Yes
94,Monacanthidae,Thamnaconus,Thamnaconus degeni,0.0556,2.877,0.8532423,,Yes
95,Ostraciidae,Aracana,Aracana aurita,0.101,2.588,1,F,Yes
96,Ostraciidae,Aracana,Aracana ornata,0.101,2.588,1,F,Yes
97,Tetraodontidae,Tetractenos,Tetractenos glaber,0.0294,2.82,1,F,Yes
98,Diodontidae,Diodon,Diodon nicthemerus,0.0219,3,1,G,Yes
101,Pataecidae,Aetapcus,Aetapcus maculatus,0.0189375,3.0385,1,Gu,Yes
103,Clinidae,Heteroclinus,Heteroclinus wilsoni,0.0168,2.7748,1,,Yes
105,Parascylliidae,Parascyllium,Parascyllium variolatum,0.0017,3.145,1,Gu,Yes
106,Tripterygiidae,Trianectes,Trianectes bucephalus,0.0064,3.09,1,F,Yes
107,Dasyatidae,Dasyatis,Dasyatis brevicaudata,0.0203,3,1,,Yes
108,Urolophidae,Urolophus,Urolophus paucimaculatus,0.0072,3.083,1,F,Yes
110,Serranidae,Hypoplectrodes,Hypoplectrodes nigroruber,0.0152,3.0063,1,,Yes
112,Labridae,Achoerodus,Achoerodus gouldii,0.0134,2.939,1,F,Yes
113,Odacidae,Siphonognathus,Siphonognathus tanyourus,0.0007,3.498,1,F,Yes
114,Clupeidae,Sardinops,Sardinops neopilchardus,0.0076,3.15,0.847098687,G,Yes
115,Apogonidae,Siphamia,Siphamia cephalotes,0.0127,3.161,1,,Yes
116,Monacanthidae,Meuschenia,Meuschenia venusta,0.0556,2.877,0.853242321,G,Yes
119,Platycephalidae,Platycephalus,Platycephalus bassensis,0.0102,2.95,0.870989667,G,Yes
120,Pempherididae,Parapriacanthus,Parapriacanthus elongatus,0.0078,3.127,1,Gu,Yes
121,Engraulidae,Engraulis,Engraulis australis,0.0047,3.05,1,G,Yes
122,Muraenidae,Gymnothorax,Gymnothorax prasinus,0.0004,3.254,1,G,Yes
124,Tetraodontidae,Omegophora,Omegophora armilla,0.0294,2.82,1,F,Yes
126,Monacanthidae,Scobinichthys,Scobinichthys granulatus,0.0556,2.877,0.89928,,Yes
128,Syngnathidae,Stigmatopora,Stigmatopora nigra,0.0002,2.749,1,F,Yes
129,Urolophidae,Urolophus,Urolophus gigas,0.0072,3.083,1,F,Yes
130,Labridae,Thalassoma,Thalassoma amblycephalum,0.0139,3,1,G,Yes
131,Pomacentridae,Chromis,Chromis margaritifer,0.0315,2.916,0.754717,,Yes
132,Serranidae,Pseudanthias,Pseudanthias squamipinnis,0.0137,3.149,0.9053871,,Yes
133,Labridae,Suezichthys,Suezichthys devisi,0.0134,2.939,1,F,Yes
134,Dasyatidae,Dasyatis,Dasyatis thetidis,0.0203,3,1,S,Yes
135,Sillaginidae,Sillago,Sillago ciliata,0.0028,3.396,0.961538462,S,Yes
136,Rhinobatidae,Aptychotrema,Aptychotrema rostrata,0.0031,3,1,F,Yes
137,Labridae,Halichoeres,Halichoeres nebulosus,0.0095,3.131,1,G,Yes
138,Synodontidae,Trachinocephalus,Trachinocephalus myops,0.0004,3.972,1,,Yes
143,Nemipteridae,Pentapodus,Pentapodus vitta,0.0106,3.073,1,G,Yes
145,Scaridae,Scarus,Scarus ghobban,0.0165,3.041,0.914913083,S,Yes
147,Chironemidae,Threpterius,Threpterius maculosus,0.0058,3.18,1,F,Yes
148,Clinidae,,Clinid spp.,0.0139,2.846,1,F,Yes
150,Rhinobatidae,Trygonorrhina,Trygonorrhina fasciata,0.0031,3,1,F,Yes
152,Hemiramphidae,Hyporhamphus,Hyporhamphus australis,0.0015,3.199,1,G,Yes
153,Scorpaenidae,Scorpaena,Scorpaena cardinalis,0.0155,3.298,1,G,Yes
154,Plesiopidae,Trachinops,Trachinops taeniatus,0.0097,2.964,1,F,Yes
155,Terapontidae,Pelates,Pelates sexlineatus,0.0134,2.958,1,G,Yes
156,Apogonidae,Apogon,Apogon limenus,0.009,3.46,0.9433962,,Yes
159,Mullidae,Upeneichthys,Upeneichthys lineatus,0.0097,3.144,0.884955752,S,Yes
160,Monodactylidae,Schuettea,Schuettea scalaripinnis,0.0367,2.8947,1,,Yes
161,Pempherididae,Pempheris,Pempheris compressa,0.0119,3.026,1,G,Yes
162,Chaetodontidae,Chelmonops,Chelmonops truncatus,0.0278,2.973,1,F,Yes
163,Pomacentridae,Parma,Parma unifasciata,0.0179,3.126,1,,Yes
164,Pomacentridae,Pomacentrus,Pomacentrus coelestis,0.037,2.63,1,S,Yes
165,Pomacentridae,Mecaenichthys,Mecaenichthys immaculatus,0.0243,2.9586,1,,Yes
167,Cheilodactylidae,Cheilodactylus,Cheilodactylus fuscus,0.016,2.989,1,G,Yes
169,Labridae,Achoerodus,Achoerodus viridis,0.0134,2.939,1,F,Yes
170,Labridae,Eupetrichthys,Eupetrichthys angustipes,0.0134,2.939,1,F,Yes
171,Labridae,Notolabrus,Notolabrus gymnogenis,0.0047,3.227,1,G,Yes
172,Blenniidae,Plagiotremus,Plagiotremus rhinorhynchos,0.0012,3.792,0.9496676,,Yes
173,Acanthuridae,Prionurus,Prionurus microlepidotus,0.198,2.504,1,,Yes
174,Acanthuridae,Acanthurus,Acanthurus olivaceus,0.0384,3.055,0.740850496,S,Yes
175,Monacanthidae,Nelusetta,Nelusetta ayraudi,0.0556,2.877,0.89928,,Yes
176,Monacanthidae,Meuschenia,Meuschenia trachylepis,0.0556,2.877,0.853242321,G,Yes
177,Carangidae,Trachurus,Trachurus novaezelandiae,0.0478,2.77,0.89206066,S,Yes
178,Plotosidae,Cnidoglanis,Cnidoglanis macrocephalus,0.003,3.223,1,,Yes
179,Aulopidae,Aulopus,Aulopus purpurissatus,0.008342857,3.145571429,1,Gu,Yes
180,Orectolobidae,Orectolobus,Orectolobus maculatus,0.0017,3.145,1,Gu,Yes
181,Acanthuridae,Naso,Naso unicornis,0.0179,3.035,0.857,,Yes
182,Blenniidae,Plagiotremus,Plagiotremus tapeinosoma,0.0057,2.908,0.973709834,S,Yes
183,Labridae,Coris,Coris picta,0.0124,2.946,1,,Yes
185,Sparidae,Rhabdosargus,Rhabdosargus sarba,0.0179,2.973,1,,Yes
186,Gerreidae,Gerres,Gerres subfasciatus,0.0168,3.0436,1,,Yes
187,Chironemidae,Chironemus,Chironemus marmoratus,0.0058,3.18,1,S,Yes
189,Scombridae,Scomber,Scomber australasicus,0.005,3.247,1,S,Yes
191,Diodontidae,Dicotylichthys,Dicotylichthys punctulatus,0.254,2.38,1,F,Yes
193,Tetraodontidae,Canthigaster,Canthigaster callisterna,0.0323,2.953,1,G,Yes
194,Serranidae,Acanthistius,Acanthistius ocellatus,0.0152,3.0063,1,,Yes
195,Gobiesocidae,Aspasmogaster,Aspasmogaster costata,0.0088,3.059,1,F,Yes
196,Urolophidae,Trygonoptera,Trygonoptera testacea,0.0072,3.083,1,F,Yes
199,,,Unidentified fish,0.014850099,3.048667987,1,Gu,Yes
466,Gempylidae,Thyrsites,Thyrsites atun,0.0048,3,0.921658986,S,Yes
473,Gobiesocidae,Cochleoceps,Cochleoceps bicolor,0.0088,3.059,1,F,Yes
481,Urolophidae,Urolophus,Urolophus sufflavus,0.0073,3.0415,2,,Yes
482,Blenniidae,Aspidontus,Aspidontus taeniatus,0.0105,3.13,1,F,Yes
483,Sillaginidae,Sillaginodes,Sillaginodes punctatus,0.003,3.2,1,,Yes
487,Pempherididae,Pempheris,Pempheris spp.,0.0119,3.026,1,G,Yes
489,Callionymidae,Foetorepus,Foetorepus calauropomus,0.014,2.709,1,F,Yes
492,Clinidae,Cristiceps,Cristiceps argyropleura,0.002,3.675,1,G,Yes
493,Pomacanthidae,Centropyge,Centropyge bicolor,0.0492,2.795,1,G,Yes
543,Pomacentridae,Chrysiptera,Chrysiptera flavipinnis,0.0377,2.702,0.929368,,Yes
549,Mugilidae,Aldrichetta,Aldrichetta forsteri,0.0151,2.87,1,F,Yes
577,Sphyraenidae,Sphyraena,Sphyraena obtusata,0.0257,2.588,0.9328358,,Yes
578,Pomacentridae,Chromis,Chromis westaustralis,0.0144,3.351,0.7980846,,Yes
579,Blenniidae,Petroscirtes,Petroscirtes lupus,0.0105,3.13,1,F,Yes
580,Tetraodontidae,Torquigener,Torquigener squamicauda,0.0294,2.82,1,F,Yes
581,Pomacentridae,Chromis,Chromis flavomaculata,0.0144,3.351,0.8787346,,Yes
635,Brachaeluridae,Brachaelurus,Brachaelurus waddi,0.0017,3.145,1,Gu,Yes
646,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,0.0089,3.278,1,,Yes
647,Cirrhitidae,Cirrhitichthys,Cirrhitichthys aprinus,0.0138,3.117,1,G,Yes
648,Labridae,Macropharyngodon,Macropharyngodon negrosensis,0.0134,2.939,1,F,Yes
649,Labridae,Suezichthys,Suezichthys arquatus,0.0134,2.939,1,F,Yes
650,Chaetodontidae,Chaetodon,Chaetodon auriga,0.0404,2.829,1,S,Yes
651,Pomacentridae,Chromis,Chromis nitida,0.0258,2.943,0.8695652,,Yes
654,Carangidae,Seriola,Seriola hippos,0.0064,3.17,0.8873114,,Yes
655,Mullidae,Parupeneus,Parupeneus chrysopleuron,0.0192,3.022,0.874,,Yes
656,Labridae,Anampses,Anampses caeruleopunctatus,0.0134,2.939,1,F,Yes
657,Labridae,Stethojulis,Stethojulis interrupta,0.011,3.06,1,S,Yes
658,Pinguipedidae,Parapercis,Parapercis ramsayi,0.0068,3.157,1,G,Yes
659,Synodontidae,Synodus,Synodus jaculum,0.0067,3.201,0.936,,Yes
660,Labridae,Pseudocoris,Pseudocoris yamashiroi,0.0134,2.939,1,F,Yes
662,Gobiidae,,Gobiid spp.,0.013,2.882,1,F,Yes
662,Gobiidae,,Gobiid spp.,0.013,2.882,1,F,Yes
664,Tetraodontidae,Canthigaster,Canthigaster valentini,0.0367,2.943,1,S,Yes
667,Carangidae,Carangoides,Carangoides orthogrammus,0.0156,3.026,0.8984726,,Yes
668,Gobiidae,Istigobius,Istigobius hoesei,0.0106,3.086,1,G,Yes
672,Clinidae,Heteroclinus,Heteroclinus spp.,0.0168,2.775,1,G,Yes
676,Monacanthidae,Acanthaluteres,Acanthaluteres brownii,0.0556,2.877,0.8250825,,Yes
695,Orectolobidae,Orectolobus,Orectolobus ornatus,0.0017,3.145,1,Gu,Yes
778,Syngnathidae,Heraldia,Heraldia nocturna,0.0002,2.749,1,F,Yes
779,Mullidae,Parupeneus,Parupeneus pleurostigma,0.0192,3.022,0.887,,Yes
780,Squatinidae,Squatina,Squatina australis,0.004,3.16,1,G,Yes
781,Labridae,Leptojulis,Leptojulis cyanopleura,0.0134,2.939,1,F,Yes
783,Cheilodactylidae,Cheilodactylus,Cheilodactylus vestitus,0.016,2.989,1,G,Yes
785,Labridae,Notolabrus,Notolabrus inscriptus,0.0047,3.227,1,G,Yes
897,Microdesmidae,Ptereleotris,Ptereleotris evides,0.0167,2.863,1,Gu,Yes
898,Chaetodontidae,Parachaetodon,Parachaetodon ocellatus,0.0278,2.973,1,F,Yes
899,Chaetodontidae,Chaetodon,Chaetodon kleinii,0.0318,2.984,1,G,Yes
900,Aploactinidae,Aploactisoma,Aploactisoma milesii,0.0189375,3.0385,1,Gu,Yes
901,Trachichthyidae,Trachichthys,Trachichthys australis,0.0203,2.9807,1,,Yes
902,Monacanthidae,Eubalichthys,Eubalichthys bucephalus,0.0556,2.877,0.7757952,,Yes
903,Clinidae,Cristiceps,Cristiceps aurantiacus,0.002,3.675,1,S,Yes
905,Lutjanidae,Paracaesio,Paracaesio xanthura,0.0106,3.135,0.889679715,G,Yes
906,Monacanthidae,Eubalichthys,Eubalichthys mosaicus,0.0556,2.877,0.7757952,,Yes
907,Mugilidae,Myxus,Myxus elongatus,0.0109,3.089,0.9090909,,Yes
908,Ostraciidae,Anoplocapros,Anoplocapros inermis,0.101,2.588,1,F,Yes
910,Synodontidae,Synodus,Synodus variegatus,0.0026,3.431,1,,Yes
911,Pempherididae,Pempheris,Pempheris affinis,0.0119,3.026,1,G,Yes
912,Plesiopidae,Paraplesiops,Paraplesiops bleekeri,0.0097,2.964,1,F,Yes
913,Kyphosidae,Microcanthus,Microcanthus strigatus,0.0526,2.818,0.976,S,Yes
914,Serranidae,Hypoplectrodes,Hypoplectrodes annulatus,0.0152,3.0063,1,,Yes
915,Ostraciidae,Ostracion,Ostracion cubicus,0.101,2.588,1,S,Yes
916,Labridae,Austrolabrus,Austrolabrus maculatus,0.0134,2.939,1,F,Yes
917,Zanclidae,Zanclus,Zanclus cornutus,0.0147,3.37,1,S,Yes
918,Labridae,Pseudolabrus,Pseudolabrus luculentus,0.0134,2.939,1,F,Yes
919,Microdesmidae,Ptereleotris,Ptereleotris spp.,0.0167,2.863,1,Gu,Yes
920,Scorpaenidae,Glyptauchen,Glyptauchen panduratus,0.0155,3.298,1,F,Yes
923,Labridae,Labroides,Labroides dimidiatus,0.0059,3.231,1,S,Yes
928,Caesionidae,Pterocaesio,Pterocaesio digramma,0.0069,3.341,0.886524823,S,Yes
929,Scorpaenidae,Maxillicosta,Maxillicosta scabriceps,0.0155,3.298,1,F,Yes
930,Serranidae,Othos,Othos dentex,0.0152,3.0063,1,,Yes
931,Plesiopidae,Trachinops,Trachinops noarlungae,0.0097,2.964,1,F,Yes
932,Plesiopidae,Trachinops,Trachinops brauni,0.0097,2.964,1,F,Yes
933,Terapontidae,Pelsartia,Pelsartia humeralis,0.0134,2.958,1,,Yes
934,Monodactylidae,Monodactylus,Monodactylus argenteus,0.0303,2.964,0.954,S,Yes
935,Pempherididae,Pempheris,Pempheris klunzingeri,0.0119,3.026,1,G,Yes
936,Labridae,Dotalabrus,Dotalabrus alleni,0.0134,2.939,1,F,Yes
937,Kyphosidae,Neatypus,Neatypus obliquus,0.0526,2.818,0.925,,Yes
938,Kyphosidae,Tilodon,Tilodon sexfasciatus,0.0135,3.03,1,Gu,Yes
939,Pomacentridae,Parma,Parma mccullochi,0.0179,3.126,1,,Yes
940,Pomacentridae,Chromis,Chromis klunzingeri,0.0315,2.916,0.9049774,,Yes
941,Cheilodactylidae,Nemadactylus,Nemadactylus valenciennesi,0.0111,2.997,1,G,Yes
942,Labridae,Coris,Coris auricularis,0.0124,2.946,1,,Yes
944,Labridae,Pseudolabrus,Pseudolabrus biserialis,0.0134,2.939,1,F,Yes
946,Monacanthidae,Monacanthus,Monacanthus chinensis,0.0704,2.447,1,S,Yes
947,Monacanthidae,Meuschenia,Meuschenia galii,0.0556,2.877,0.853242321,G,Yes
950,Tetraodontidae,Omegophora,Omegophora cyanopunctata,0.0294,2.82,1,F,Yes
951,Kyphosidae,Girella,Girella tephraeops,0.0163,3.022,0.960614793,G,Yes
952,Cheilodactylidae,Cheilodactylus,Cheilodactylus rubrolabiatus,0.016,2.989,1,G,Yes
954,Ostraciidae,Anoplocapros,Anoplocapros lenticularis,0.101,2.588,1,F,Yes
955,Aplodactylidae,Aplodactylus,Aplodactylus westralis,0.0053,3.207,1,G,Yes
956,Odacidae,Siphonognathus,Siphonognathus radiatus,0.0134,2.939,1,F,Yes
957,Chaetodontidae,Chelmonops,Chelmonops curiosus,0.0278,2.973,1,F,Yes
958,Monodactylidae,Schuettea,Schuettea woodwardi,0.0367,2.8947,1,,Yes
960,Chironemidae,Chironemus,Chironemus georgianus,0.0058,3.18,1,G,Yes
961,Labridae,Pictilabrus,Pictilabrus viridis,0.0134,2.939,1,F,Yes
962,Plesiopidae,Paraplesiops,Paraplesiops meleagris,0.0097,2.964,1,F,Yes
963,Serranidae,Epinephelides,Epinephelides armatus,0.0148,3.0187,1,,Yes
964,Sillaginidae,Sillago,Sillago schomburgkii,0.0028,3.396,0.971,,Yes
965,Urolophidae,Trygonoptera,Trygonoptera ovalis,0.0072,3.083,1,F,Yes
967,Berycidae,Centroberyx,Centroberyx lineatus,0.0077,3.325,0.939261114,F,Yes
968,Carangidae,Seriola,Seriola lalandi,0.0246,2.845,0.8940545,,Yes
969,Ostraciidae,Anoplocapros,Anoplocapros amygdaloides,0.101,2.588,1,F,Yes
969,Ostraciidae,Anoplocapros,Anoplocapros amygdaloides,0.101,2.588,1,F,Yes
970,Serranidae,Caesioscorpis,Caesioscorpis theagenes,0.0132,3.031,0.997008973,F,Yes
972,Pomatomidae,Pomatomus,Pomatomus saltatrix,0.0136,2.899,1,S,Yes
973,Callanthiidae,Callanthias,Callanthias australis,0.0978,2.643,1,Gu,Yes
974,Labridae,Notolabrus,Notolabrus parilus,0.0047,3.227,1,G,Yes
976,Haemulidae,Plectorhinchus,Plectorhinchus flavomaculatus,0.0209,2.9474,1,,Yes
977,Tetraodontidae,Torquigener,Torquigener pleurogramma,0.0294,2.82,1,F,Yes
979,Kyphosidae,Scorpis,Scorpis georgiana,0.0076,3.136,1,G,Yes
980,Pomacentridae,Parma,Parma occidentalis,0.0179,3.126,1,,Yes
981,Apogonidae,Apogon,Apogon victoriae,0.009,3.46,0.9416196,,Yes
983,Kyphosidae,Kyphosus,Kyphosus cornelii,0.0226,3.055,0.945179584,G,Yes
984,Odacidae,Siphonognathus,Siphonognathus spp.,0.0134,2.939,1,F,Yes
985,Orectolobidae,Orectolobus,Orectolobus spp.,0.0017,3.145,1,Gu,Yes
989,Platycephalidae,Leviprora,Leviprora inops,0.0041,3.205,1,F,Yes
990,Platycephalidae,,Platycephalid spp.,0.0041,3.205,1,F,Yes
991,Platycephalidae,Platycephalus,Platycephalus speculator,0.0102,2.95,0.870989667,G,Yes
996,Scorpaenidae,,Scorpaenid spp.,0.0155,3.298,1,F,Yes
1009,Labridae,Thalassoma,Thalassoma lunare,0.0211,2.832,1,,Yes
1010,Labridae,Thalassoma,Thalassoma lutescens,0.013,3.042,0.854700855,S,Yes
1011,Glaucosomatidae,Glaucosoma,Glaucosoma hebraicum,0.0477,2.707,1,G,Yes
1012,Labridae,Anampses,Anampses geographicus,0.0134,2.939,1,F,Yes
1014,Labridae,Suezichthys,Suezichthys cyanolaemus,0.0134,2.939,1,F,Yes
1016,Chaetodontidae,Chaetodon,Chaetodon assarius,0.0318,2.984,1,G,Yes
1018,Labridae,Choerodon,Choerodon rubescens,0.0145,3.125,1,G,Yes
1019,Blenniidae,Cirripectes,Cirripectes spp.,0.0147,3.099,1,G,Yes
1020,Scorpaenidae,Pterois,Pterois volitans,0.0155,3.298,1,F,Yes
1021,Pomacentridae,Stegastes,Stegastes obreptus,0.0275,2.973,1,G,Yes
1022,Pomacentridae,Pomacentrus,Pomacentrus milleri,0.037,2.63,1,,Yes
1038,Pomacentridae,Abudefduf,Abudefduf vaigiensis,0.0249,3.11,0.9310987,,Yes
1039,Tetraodontidae,Arothron,Arothron hispidus,0.0634,2.756,1,S,Yes
1040,Blenniidae,Aspidontus,Aspidontus dussumieri,0.0105,3.13,1,F,Yes
1041,Chaetodontidae,Chaetodon,Chaetodon flavirostris,0.0251,3.113,1,S,Yes
1042,Monocentridae,Cleidopus,Cleidopus gloriamaris,0.1284,2.558,1,Gu,Yes
1043,Gobiidae,Nesogobius,Nesogobius pulchellus,0.013,2.882,1,F,Yes
1044,Pomacentridae,Parma,Parma polylepis,0.0179,3.126,1,,Yes
1045,Labridae,Pseudojuloides,Pseudojuloides elongatus,0.0134,2.939,1,F,Yes
1046,Microdesmidae,Ptereleotris,Ptereleotris microlepis,0.0167,2.863,1,Gu,Yes
1047,Scaridae,Scarus,Scarus chameleon,0.0186,3.0455,1,,Yes
1048,Labridae,Suezichthys,Suezichthys aylingi,0.0134,2.939,1,F,Yes
1050,Labridae,Anampses,Anampses femininus,0.0134,2.939,1,F,Yes
1051,Ostraciidae,Lactoria,Lactoria cornuta,0.0275,2.709,1,S,Yes
1052,Chaetodontidae,Amphichaetodon,Amphichaetodon howensis,0.0278,2.973,1,F,Yes
1079,Atherinidae,Leptatherina,Leptatherina presbyteroides,0.0075,2.975,1,F,Yes
1082,Scombridae,Sarda,Sarda australis,0.01169,3.03,0.9380863,,Yes
1093,Blenniidae,Petroscirtes,Petroscirtes fallax,0.0105,3.13,1,F,Yes
