Country,siteName,contactEmail,sciName,totalCount,family,active.ambush,feedingTypeFishbase,feedingImpute,trophicGroupRLS,trophicImpute,waterColumnRLS,waterColumnImpute,eat.squid,eat.squidImpute,BodyShapeI,BodyShapeII,Forehead,TypeofMouth,PosofMouth,CShape,Attributes,TL,HL,BD,SnoutTipX,SnoutTipY,AspectRatio,EncIndex,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,SoftBottom,Sand,Mud,HardBottom,SeaGrassBeds,CoralReefs,Estuaries,Mangroves,Intertidal,Saltmarshes,Herbivory2,Climate,FoodI,FoodII
Australia (NSW2),Urunga Lagoon 1,brendan.kelaher@scu.edu.au,Ambassis jacksoniensis,718,Ambassidae,ambush,selective plankton feeding,selective plankton feeding,planktivore,planktivore,demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1,0.3,0,0,0,0,-1,0,-1,-1,0,0,mainly animals (troph. 2.8 and up),subtropical,zooplankton,plank. crust.
Australia (QLD2),Hervey Bay,chender1@usc.edu.au,Ambassis marianus,40,Ambassidae,ambush,selective plankton feeding,selective plankton feeding,planktivore,planktivore,demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-1,-1,0,0,,subtropical,,
Australia (QLD2),Hervey Bay,chender1@usc.edu.au,Ambassis marianus,40,Ambassidae,ambush,selective plankton feeding,selective plankton feeding,planktivore,planktivore,demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-1,-1,0,0,,subtropical,,
Australia (QLD2),Noosa river,chender1@usc.edu.au,Ambassis marianus,1260,Ambassidae,ambush,selective plankton feeding,selective plankton feeding,planktivore,planktivore,demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-1,-1,0,0,,subtropical,,
Australia (QLD2),Noosa river,chender1@usc.edu.au,Ambassis marianus,1260,Ambassidae,ambush,selective plankton feeding,selective plankton feeding,planktivore,planktivore,demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,-1,-1,0,0,,subtropical,,
Australia (NSW),Smiths_Lake_NSW,a.poore@unsw.edu.au,Ambassis sp.,1189,Ambassidae,ambush,selective plankton feeding,selective plankton feeding,planktivore,planktivore,demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada (QC),QC_Baie St-Ludger,mathieu.cusson@uqac.ca,Ammodytes americanus,3,Ammodytidae,ambush,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,NA,benthic,0,0,elongated,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,NaN,3.33,0.36,-1,-1,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),temperate,zoobenthos;zooplankton,benth. crust.;jellyfish/hydroids;mollusks;other plank. invertebrates;plank. crust.;worms
Canada (BC),Choked Sandspit,zach.monteith@hakai.org,Ammodytes hexapterus,2,Ammodytidae,ambush,selective plankton feeding,selective plankton feeding,Planktivore,planktivore,Pelagic site attached,pelagic site attached,0,0,elongated,NA,more or less straight,more or less normal,superior,forked,more or less normal,577,103,45,30,83,1.35361,NaN,3.13,0.078,3.28,0.29,0,0,0,0,0,0,0,0,-1,0,mainly animals (troph. 2.8 and up),polar,nekton;plants;zoobenthos;zooplankton,benth. crust.;finfish;fish (early stages);mollusks;other plank. invertebrates;phytoplankton;plank. crust.;worms
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Ammodytes tobianus,20,Ammodytidae,ambush,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,NA,benthic,0,0,elongated,circular,more or less straight,more or less normal,superior,forked,more or less normal,559.5,91.5,58,51,263,1.0739385,NaN,3.08,0.074,3.16,0.32,-1,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),temperate,plants;zooplankton,fish (early stages);other plank. invertebrates;phytoplankton;plank. crust.
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Aplysia californica,1,Aplysiidae,active,grazing on aquatic plants,grazing on aquatic plants,scraping herbivore,scraping herbivore,benthic,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA (FL),NA,NA,Ariopsis felis,164,Ariidae,active,hunting macrofauna (predator),hunting macrofauna (predator),omnivore,omnivore,benthic,benthic,1,1,elongated,NA,NA,NA,NA,NA,NA,579,132,105,NaN,NaN,1.87561,NaN,3.23,NaN,4.5,0.8,-1,0,0,0,-1,0,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,nekton,finfish
France,Bouzigues,francesca.rossi@cnrs.fr,Atherina boyeri,19,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,527,98,87,NaN,NaN,1.19972,NaN,NaN,NaN,3.22,0.36,0,0,0,0,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other benth. invertebrates;plank. crust.;worms
France,Bouzigues,francesca.rossi@cnrs.fr,Atherina boyeri,19,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,527,98,87,NaN,NaN,1.19972,NaN,NaN,NaN,3.22,0.36,0,0,0,0,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other benth. invertebrates;plank. crust.;worms
France,Bouzigues,francesca.rossi@cnrs.fr,Atherina boyeri,19,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,527,98,87,NaN,NaN,1.19972,NaN,NaN,NaN,3.22,0.36,0,0,0,0,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other benth. invertebrates;plank. crust.;worms
Italy,NA,NA,Atherina boyeri,2,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,527,98,87,NaN,NaN,1.19972,NaN,NaN,NaN,3.22,0.36,0,0,0,0,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other benth. invertebrates;plank. crust.;worms
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Atherina hepsetus,365,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,580,123,80,33,109,1.65517,NaN,NaN,NaN,3.24,0.33,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;plank. crust.
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Atherina hepsetus,365,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,580,123,80,33,109,1.65517,NaN,NaN,NaN,3.24,0.33,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;plank. crust.
Croatia,NA,NA,Atherina hepsetus,6,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,580,123,80,33,109,1.65517,NaN,NaN,NaN,3.24,0.33,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;plank. crust.
Croatia,NA,NA,Atherina hepsetus,6,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,580,123,80,33,109,1.65517,NaN,NaN,NaN,3.24,0.33,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;plank. crust.
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Atherina presbyter,465,Atherinidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,more or less straight,more or less normal,terminal,forked,more or less normal,625,137,97,14,103,1.48975,67.48275862,NaN,NaN,3.67,0.43,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zooplankton,fish (early stages);plank. crust.
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Atherina presbyter,465,Atherinidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,more or less straight,more or less normal,terminal,forked,more or less normal,625,137,97,14,103,1.48975,67.48275862,NaN,NaN,3.67,0.43,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zooplankton,fish (early stages);plank. crust.
Wales,NA,NA,Atherina presbyter,3,Atherinidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,more or less straight,more or less normal,terminal,forked,more or less normal,625,137,97,14,103,1.48975,67.48275862,NaN,NaN,3.67,0.43,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zooplankton,fish (early stages);plank. crust.
Wales,NA,NA,Atherina presbyter,3,Atherinidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,more or less straight,more or less normal,terminal,forked,more or less normal,625,137,97,14,103,1.48975,67.48275862,NaN,NaN,3.67,0.43,0,0,0,0,0,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,zooplankton,fish (early stages);plank. crust.
Australia (QLD),Bowen,paul.york@jcu.edu.au,Atherinomorus endrachtensis,26,Atherinidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,558,124,110,NaN,NaN,2.25735,NaN,NaN,NaN,3.4,0.45,0,0,0,0,0,0,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,zooplankton,other plank. invertebrates
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Atherinomorus vaigiensis,176,Atherinidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,0.42,3.24000001,0.4345,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other plank. invertebrates;plank. crust.;worms
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Atherinomorus vaigiensis,176,Atherinidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,0.42,3.24000001,0.4345,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other plank. invertebrates;plank. crust.;worms
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Atherinomorus vaigiensis,176,Atherinidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,0.42,3.24000001,0.4345,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other plank. invertebrates;plank. crust.;worms
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Atherinomorus vaigiensis,176,Atherinidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,0.42,3.24000001,0.4345,0,0,0,0,0,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;insects;mollusks;other plank. invertebrates;plank. crust.;worms
Australia (NSW),Smiths_Lake_NSW,a.poore@unsw.edu.au,Atherinosoma microstoma,68,Atherinidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Atherinosoma microstoma,5,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,pelagic site attached,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Atherinosoma microstoma,5,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,pelagic site attached,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Australia (VIC),Indented Head,hjanes@deakin.edu.au,Atherinosoma microstoma,15,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,pelagic site attached,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Australia (VIC),Indented Head,hjanes@deakin.edu.au,Atherinosoma microstoma,15,Atherinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,pelagic site attached,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,subtropical,,
Brazil,Praia do Barreiro,guca@usp.br,Atherinella brasiliensis,2,Atherinopsidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,Pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,561,107,93,NaN,NaN,1.39901,NaN,3.23,0.28,3,0.29,0,0,0,0,0,-1,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;others;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;fish (early stages);mollusks;other plank. invertebrates;other plants;other terrest. invertebrates;phytoplankton;plank. crust.;worms
Brazil,Praia do Barreiro,guca@usp.br,Atherinella brasiliensis,2,Atherinopsidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,Pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,561,107,93,NaN,NaN,1.39901,NaN,3.23,0.28,3,0.29,0,0,0,0,0,-1,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;others;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;fish (early stages);mollusks;other plank. invertebrates;other plants;other terrest. invertebrates;phytoplankton;plank. crust.;worms
Brazil,Praia do Engenho,guca@usp.br,Atherinella brasiliensis,2,Atherinopsidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,Pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,561,107,93,NaN,NaN,1.39901,NaN,3.23,0.28,3,0.29,0,0,0,0,0,-1,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;others;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;fish (early stages);mollusks;other plank. invertebrates;other plants;other terrest. invertebrates;phytoplankton;plank. crust.;worms
Brazil,Praia do Engenho,guca@usp.br,Atherinella brasiliensis,2,Atherinopsidae,active,variable,variable,planktivore;benthic invertivore,planktivore;benthic invertivore,Pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,561,107,93,NaN,NaN,1.39901,NaN,3.23,0.28,3,0.29,0,0,0,0,0,-1,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),tropical,detritus;nekton;others;plants;zoobenthos;zooplankton,benth. crust.;detritus;finfish;fish (early stages);mollusks;other plank. invertebrates;other plants;other terrest. invertebrates;phytoplankton;plank. crust.;worms
Mexico (BN),Punta Banda Estuary,pablojorgensen@hotmail.com,Atherinops affinis,130,Atherinopsidae,active,Selective plankton feeding,selective plankton feeding,Planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,561,85,104,NaN,NaN,1.24322,NaN,NaN,NaN,2.76,0.28,-1,0,-1,-1,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical;temperate,plants;zoobenthos;zooplankton,insects;other plants;plank. crust.
USA (CA),San Diego,khovel@mail.sdsu.edu,Atherinops affinis,899,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,561,85,104,NaN,NaN,1.24322,NaN,NaN,NaN,2.76,0.28,-1,0,-1,-1,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical;temperate,plants;zoobenthos;zooplankton,insects;other plants;plank. crust.
USA (CA2),Windy Cove,jkoleary@calpoly.edu,Atherinops affinis,214,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,561,85,104,NaN,NaN,1.24322,NaN,NaN,NaN,2.76,0.28,-1,0,-1,-1,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical;temperate,plants;zoobenthos;zooplankton,insects;other plants;plank. crust.
USA (CA3),Elkhorn Slough,bbhughes@ucsc.edu,Atherinops affinis,1,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,561,85,104,NaN,NaN,1.24322,NaN,NaN,NaN,2.76,0.28,-1,0,-1,-1,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical;temperate,plants;zoobenthos;zooplankton,insects;other plants;plank. crust.
USA (OR),OIMB-Valino-SSNERR,agalow3@uoregon.edu,Atherinops affinis,15,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,more or less normal,561,85,104,NaN,NaN,1.24322,NaN,NaN,NaN,2.76,0.28,-1,0,-1,-1,0,0,-1,0,0,0,plants/detritus+animals (troph. 2.2-2.79),subtropical;temperate,plants;zoobenthos;zooplankton,insects;other plants;plank. crust.
Mexico (BN),Punta Banda Estuary,pablojorgensen@hotmail.com,Atherinopsis californiensis,4,Atherinopsidae,active,Variable,variable,Planktivore,planktivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,forked,NA,563,102,99,NaN,NaN,1.78363,NaN,NaN,NaN,2.33,0.21,0,0,0,0,0,0,0,0,0,0,plants/detritus+animals (troph. 2.2-2.79),temperate,detritus;others;plants;zoobenthos;zooplankton,benth. crust.;detritus;mollusks;other plank. invertebrates;other plants;others;phytoplankton;plank. crust.
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Menidia beryllina,13,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,341,67,52,275,81,1.3888,NaN,NaN,NaN,NaN,NaN,-1,-1,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,,
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Menidia beryllina,13,Atherinopsidae,active,selective plankton feeding,selective plankton feeding,NA,benthic invertivore,pelagic site attached,pelagic site attached,0,0,elongated,NA,NA,NA,NA,NA,NA,341,67,52,275,81,1.3888,NaN,NaN,NaN,NaN,NaN,-1,-1,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,,
